question,wrong_choices,correct_answer
"Which of the following gases shows more ideal behaviour at 0°C___________?","H2, CH4, NH3","He"
"The energy of one mole of photons of radiation, whose frequency is 4×10 14 Hz, is ___________?","135.5 KJ, 110.5 KJ, 80.4 KJ","159.6kJ"
"Azimuthal quantum number defines___________?","e/m ratio of an electron, Spin of an electron, Magnetic momentum of an electron","Angular momentum of an electron"
"Magnetic quantum number specifies___________?","Size of orbitals, Shape of orbitals, All of the above","Orientation of orbitals"
"If R is the Rydberg constant for hydrogen, then wave-number of the second line in the Lyman series is _________?","2 R, R/2, R/4","3R/4"
"Generally the limit of visible spectrum is__________?","1000 to 300 A°, 8000 to 10,000 A°, 12,000 to 15,000 A°","3800 to 7600 A°"
"Which one of the following is the correct sequence according to atomic weights?","Fe>Co> Ni, Ni> Co> Fe, Co >Fe>Ni","Co > Ni > Fe"
"Alpha particles can be detected by using___________?","Gold foils, Barium sulphate, Thin Aluminium sheet","Zinc sulphide screen"
"When 0.01 moles of NaOH are added to a buffer solution, its PH changes from 4.745 to 4.832. What is its?","0.900, 0.015, 0.215","0.115"
"The PH of pure water at 25°C, kw=1×10-4____________?","0, 14, None of above","7"
"The PH of Tears is __________?","7.0, 7.8, 8.2","7.4"
"The PH of milk is __________?","6.0, 7.0, 7.5","6.5"
"The PH of the 1.3 × 10-4 NH4Cl is__________?","1.3, 4.0, 2.886","3.886"
"The PH of the 0.0032 M H2SO4 is__________?","4.0, 2.198, 1.0","3.2"
"The compound (CH3)3COH according to IUPAC is known as ___________?","Tert-Butanol, Tert Alcohol, 1,1- Diethylethanol","2,2-Dimethyl-propanol"
"The IUPAC name of HCONH2 is___________?","A, Methanoylamine, Aminoethanol",". Methanamide"
"The IUPAC name of ethylene oxide is__________?","Epoxy methane, Methoxymethane, Oxirane","Oxoethene"
"The IUPAC suffix used for _______ NC group?","Cyanide, Isocyanides, Carbylamines","Nitrile"
"The molar mass of an organic acids is determined by____________?","Depression of freezing point, Victor Meyer’s method, Osmosis method","Volumetric method"
"Presence of nitrogen in organic compounds is tested as__________?","Nitrogen gas, NH3, NO","CN‾"
"Beillstein test is used for________?","N2, CO2, CO","Cl"
"The stationary and mobile phases in paper chromatography are____________?","Liquid/liquid, Liquid/solid, Liquid/gas","Solid/liquid"
"The bond length of C=C is___________?","1.20A°, 1.34A°, 1.54A°","1.68A°"
"The bond angle between hybrid orbitals in methane CH3 is___________?","115.5°, 105. 7°, 180°","109.5°"
"The criteria for aromaticity is presence of_________?","Unsaturations, Cyclic structure, Presence of 4nπ electrons","Presence of 4n+2π electrons"
"Chlorine Cl when attached to benzene has________?","+I and +R effect, +1 and -R effect, -I and -R effect","-1 and +R effect"
"Which one of the following is most acidic?","Phenol, O-nitrophenol, M-nitrophenol","P-nitrophenol"
"Which of the following effects best explains that o-nitrophenol is insoluble in water?","Inductive effect, Resonance effect, Isomeric effect","Intermolecular H-bonding"
"The carbon-carbon bond strength is maximum in__________?","CH2=CH2, Benzene, Cyclohexane","CH3CH3"
"Which one of the following is caustic potash?","NaOH, NaCl, NaBH4","KOH"
"Commercial detergents contain mainly _____________?","RONa, RSNa, ROsO3Na Muhammad Ali Kunbhar","RCOON"
"_____________ surfactants perform well over a wide range water hardness and PH?","Anionic, Cationic, Neutral","Nonionic"
"Polyethylene Glycols are used in the preparation of which type of detergents?","Cationic detergents, Anionic detergents, All of above","Non-ionic detergents soap"
"The by-product of the process of Saponification is___________?","Methanol, Glycol, Sodium hydroxide","Glycerol"
"Which of the following statements is false about transition metals?","They form complexes, They show variable valency, They form coloured ions","All transition metal compounds are paramagnetic"
"Colour in transition metal compounds is attributed to____________?","Small sized metal ions, Absorption of light in UV region, Complete ns sub-shell","Incomplete (n-1) d sub-shell"
"The maximum oxidation shown by manages is_________?","+2, +4, +5","+7"
"Which of the following is soluble in water?","AgCl, AgBr, AgI","AgF"
"Which of the following alloys contain(s) Cu and Zn?","Bronze, Gun-metal, Type metal","Brass"
"Transition elements, in general, exhibit the following properties, except one. Name that property?","Variable oxidation state, Tendency to form complexes, Formation of alloys","Natural Radioactivity"
"The substance used in cancer therapy is___________?","Fe, Ni, Rn","Co"
"If steel is heated to a temperature well below red heat and is then cooled slowly, the process is called_________?","Quenching, Tempering, Nitriding","Annealing"
"Carbon in wrought iron is present as_________?","Silicon carbide, Graphite, Partly as iron carbide and partly as graphite","Iron carbide"
"Stainless steel contains___________?","Fe+Ni+Cu, Fe+ Cr+Cu, Cu+C+Ni","Fe+Cr+Ni"
"A theoretical link between quantum mechanics and thermodynamics is_________?","Electrchemistry, Matrix mechanics, Soectroscopic analysis","Statistical thermodynamics"
"For a given mass of a gas at constant temperature, if the value V becomes 3 times, the pressure will becomes__________?","3P, 3P/T, 6P","P/3"
"The reciprocal of the coefficent of viscosity is called__________?","Density, Specific gravity, Absorbance","Fluidity"
"The science of fermentation is called _______ ?","Zygology, Zymurgy, Zootaxy","Zymology"
"The Branch of chemistry dealing with brewing and distilling is called _______ ?","Zygology, Zymology, Zootaxy","Zymurgy"
"What is the molecular Weight of Nitric acid (HNO3 ) ?","65.012 g/mol, 70.012 g/mol, 81.011 g/mol","63.012 g/mol"
"What is the molecular formula for Nitric acid ________ ?","HNO2, HN2O2, H2NO4","HNO3"
"The discovery of neutron became very late because _______ ?","It does not move, It is a fundamental particle, It is present in nucleus","It does not carry any charge"
"The absolute value of charge on electron was determined by ________ ?","J.J.Thomson, Chadwick, Rutherford","Robert Millikan"
"What is the molecular weight of Ammonia (NH3) ________ ?","18.031 g/mol, 19.031 g/mol, 27.033 g/mol","17.031 g/mol"
"Sum of protons and neutrons in an atom gives off _________ ?","Nucleon numbera, Mass number, Atomic number","Both A and B"
"Which among the following is not a property of Ionic bond _________?","Transfer of electrons, Losing of electrons, Gain of electrons","Sharing of electrons"
"Permanent hardness of water due to sulphate of metals can be destroyed by the use of ________ ?","Sulphonides, Lime, Nitrates","Zeolites"
"What is the Chemical formula of Zinc Hydroxide _________ ?","ZNO2, Zn2(OH)3, ZnOH","Zn(OH)2"
"The valency of carbon Atom is __________ ?","1, 2, 3","4"
"Which law states that the rate of the effusion of a gas is inversely proportional to the square root of its density?","Gay-Lussac’s law, Boyle’s law, None of these","Graham’s Law"
"Which law states that the volume of a given amount of gas held at constant pressure is directly proportional to the Kelvin temperature?","Avogadro’s Law, Graham’s Law, Boyle’s law","Charles’ Law"
"Which law states that “equal volumes of all gases, at the same temperature and pressure, have the same number of molecules?","Boyle’s law, Charles’ law, Gay-Lussac’s law","Avogadro’s law"
"Which of the following noble gases is abundant in air?","Neon, Helium, Methane","Argon"
"Which of the following noble gases is not present in atmosphere?","Argon, Helium, Xenon","Radon"
"The easy way of balancing the chemical equation is_________?","according to atom’s atomic number., According to atom’s atomic mass., None of the above","First we balance Metal than non-metal than Hydrogen than Oxygen."
"Which one of the following is also known as lactic acid ?","3-Hydroxy propanoic acid, 2-hydroxy butanoic acid, 3-hydroxy butanoic acid","2-Hydroxy propanoic acid"
"Ethers show functional group isomerism with __________________?","aldehydes, ketones, carboxylic acid","alcohols"
"Which one of the following compound does not have – OH group___________________?","ethylene glycol, glycerol, picric acid","ethyl acetate"
"When alcohol reacts with phosphorous halides it geive____________________?","alkyl amine, alkanes, alkynes","alkyl halides"
"An alcohol which can be prepared by fermentation is_________________?","CH3OH, C3H7OH, C6H5OH","CH3 – CH2 – OH"
"Methyl alcohol is not used__________________?","As a solvent, As an antifreezing agent, For denaturing of ethyl alcohol","As a substitute for petrol"
"Which compound shows hydrogen bonding ?","C2H6, C2H5Cl, CH3OCH3","C2H5OH"
"When phenol is heated with concentrated nitric acid the product is________________?","o-nitrophenol, 1 3 5 -trinitro benzene, p-nitrophenol","Picric acid"
"The given dissociation constant (Ka) value 1.3×10-10 is of_________________?","Alcohol, Acetic acid, Water","Phenol"
"The distinction test for primary secondary and tertiary alcohol required to react each of them is_________________?","Cone. HCI and anhydrous SOCl2, Cone. HCI and anhydrous CaCl2, Cone. HCI and anhydrous PCl2","Cone. HCI and anhydrous ZnCl2"
"The oxidation of isopropyl alcohol will yield___________________?","propane, Propanol, Propanoic acid","Propanone"
"The rectified spirit contains________________?","12% alcohol, 90% alcohol, 100% alcohol","95% alcohol"
"The formula of starch is__________________?","C12H22O11, C6H10O5, C6H12O6","(C6H10O5)n"
"Water gas heated at 450?C and 200 atm pressure in the presence of ZnO+Cr2O3 will produce________________?","carbonic acid, methane","methanol"
"Which one of the following alcohol has greater boiling point___________________?","ethanol, ethylene glaycol, methanol","glycerol"
"Ethanol and methanol can be distinguished by a__________________?","Lucas test, Benedicts test, Tollens test","Iodoform test"
"The hydrogenation of phenol in the presence of Ni and heat gives_________________?","cyclohexane, n – hexane, 1 – hexanol","cyclohexanol"
"Phenol was isolated by Runge from________________?","vegetable oil, wood, none of these","coaltar"
"Absolute alcohol is obtained when rectified spirit is treated with__________________?","Ca(OH)2, CaCO3, CaCl2","CaO"
"Methanol can be obtained from_________________?","water gas, destructive distillation of wood, methane","all"
"Ethanol can be converted into ethanoic acid by_________________?","Hydrogenation, Hydration, Fermentation","Oxidation"
"Treating phenol with formaldehyde in the presence of dilute base forms Bakelite. The process involved is_________________?","oxidation, elimination, additional polymertization","condensation polymerization"
"Heating phenol with Zn will yield_________________?","Benzoic acid, Phenoxide, Cyclohexane","Benzene"
"Which compound is also known by the name of carbolic acid ?","C2H2OH, H2CO3, H3PO3","C6H5OH"
"Which alcohol will undergo elimination reaction to give alkene in the presence of acidic potassium dichromate ?","Primary alcohol, Secondary alcohol, All of above","Tertiary alcohol"
"K2Cr2O7/H2SO4 generate____________________?","Oxygen, Hydrogen, Nascent hydrogen[H]","Nascent oxygen[O]"
"The process of fermentation of starch involve many enzymes the sequence of enzymes used are____________________?","Zymase-maltase-diastase, Maltase-diastase-zymase, Diastase-zymase-maltase","Diastase-maltase-zymase"
"The residue obtained after the crystallization of sugar from concentrated sugar cane juice is called__________________?","Mother liquor, Filterate, Extract","Molasses"
"Which one of the following is also known as tartaric acid ?","2 3 -dihydroxy butanedioic acid, 2 3 -dihydroxy butanioc acid, 2 2 -dihydroxy butanoic acid","2 3-dihydroxy butance 1 4 -dioic acid"
"Which one of the following is termed as benzul alcohol ?","C6H5OH, C6H5CH(OH)2, C6H5COOH","C6H5CH2OH"
"Alkyl halides undergo a type of reaction_________________?","Nucleophilic substitution, Nucleophilic addition, Elimination","both A & C"
"Ethylene epoxide treated with Grignards reagent followed by acid hydrolysis yield __________________?","secondary alcohol, tertiary alcohol, dihydric alcohol","primary alcohol"
"Which one of the following reactants will be required to form straight chain alcohol by using Grignard reagent________________?","formaldehyde, ketone, ethylene epoxide","both A & C"
"Alkyl halides are considered to be very reactive compounds towards nucleophile because_________________?","they have an electrophilic carbon, they have an electrophilic carbon & a bad leaving group, they have a nucleophilic carbon & a good leaving group","they have an electrophilic carbon & a good leaving group"
"For which mechanisms the first step involved is the same ?","E1 + E2, E2 + SN2, SN1 and SN2","E1 and SN1"
"SN2 reaction can be best carried out with__________________?","secondary alkyl halide, tertiary alkyl halide, all","primary alkyl halide"
"When CO2 is made to react with ethyl magnesium iodide followed by acid hydrolysis the product formed is _________________?","propane, propanal, propanol","propanoic acid"
"When two moles of ethyl chloride react with two moles of sodium in the presence of ether what will be formed ?","2 moles of ethane, 1 mole of ethane, 2 moles of butane","1 mole of butane"
"Which alkyl halide out of the following may follow both SN1 and SN2 mechanism ?","CH3-X, (CH3)3 C-CH2 – X, (CH3)3 C – X","(CH3)2 CH – X"
"Which one is not a nucleophile ?","C2H5O-, SCN-, NH3","H3C+"
"Which alkyl halide has the highest reactivity for a particular alkyl group ?","R-F, R-C, R-Br","R-I"
"50% inversion of configuration of molecules take place in a___________________?","E1 – reaction, E2 – reaction, SN2 – reaction","SN1 – reaction"
"The best method of preparation of alkyl halides is a reaction of alcohol with__________________?","Zn / HCI, PCI3, PCI5","SOCl2 / Pyridine"
"In primary alkyl halides the halogen atom is attached to a carbon which is further attached to how many carbon atoms__________________?","two, three, four","one"
"Which one of the following molecules does not form alcohol when reacts with Grignard reagent ?","formaldehyde, acetaldehyde, propanone","carbondioxide"
"Which one of the following alcohols will be formed when ethyl magnesium bromide reacts with acetone ?","primary alcohol, secondary alcohol, dihydric alcohol","tertiary alcohol"
"Which one of the following species is not an electrophile ?","Br+, H+, BF3","NH3"
"The ether used in Wurtz synthesis is__________________?","acidic, basic, aqueous","dry"
"Grignard reagent is reactive due to___________________?","the presence of halogen atom, the presence of magnesium atom, all","the polarity of C-Mg bond"
"Elimination bimolecular reactions involve____________________________?","first order kinetics, third order kinetics, zero order kinetics","second order kinetics"
"The rate of E1 reaction depends upon______________________?","the concentration of nucleophile, the concentration of substrate as well as nucleophile, base the concentration of substrate as well as nucleophile","the concentration of substrate"
"What is the order of kinetics in the SN1 mechanism ?","Zero, Second, Third","First"
"What will be the order of reaction of a reaction whose rate can be expressed as R = K [A] [B] ?","Zero, One, Three","Two"
"The number of molecules taking part in the rate determining step is called___________________?","Rate of reaction, Mole of a reaction, Extent of a reaction","Order of reaction"
"Ethyl chloride with nascent hydrogen produces_________________?","methane, propane, butane","ethane"
"Which C-X bond has the highest bond energy per mole ?","C-C, C-Br, C-I","C-F"
"Vinylacetylene combines with HCI to form___________________?","polyacetylene, benzene, divinyl acetylene","chloroprene"
"Raney nickel is prepared from ______________________ by treating with caustic soda?","Ni-Cu alloy, Ni-Fe alloy, Ni-Mg alloy","Ni-Al alloy"
"Reactivity due to pi-electrons is present in_________________?","alkane, alkene, alkyne","both B & C"
"Removal of halogen and hydrogen atom is_________________?","halogenation, dehalogenation, hydrohalogenation","dehydrohalogenation"
"General formula of alkyne is______________?","CnH2n + 2, CnH2n, CnH2n + 2","CnH2n – 2"
"Order of ease of halogenation in alkane is________________?","I2>Cl2>Br2>F2, F2>Cl2>I2>Br2, Cl2>F2>Br2>I2","F2>Cl2>Br2>I2"
"Incomplete oxidation of methane in the limited supply of air forms ?","CO2 and H2O, CO + H2 + C, CO + H2O + C","CH3OH"
"Upto ___________________ C atoms alkanes are gases?","2, 3, 6","4"
"Dehalogenation of ethyl tetrahalide will give____________________?","ethene, ethyl halide, all of the above are possible","ethyne"
"Soda lime is a mixture of____________________?","CaO and KOH, NaOH and Na2O, Na2O and KOH","CaO and NaOH"
"Clemmensens reduction infolves the reduction of___________________?","aldehyde, alkane, all of the above","ketone"
"Sabatier Senderns reaction involve _____________ in presence of Ni?","alkene & O2, alkene & N2, alkyne & Cl2","Aalkene & H2"
"When one hydrogen atom of alkane is removed then it is called________________?","alkene, aldehyde, saturated hydrocarbon","alkyl"
"Which is methyl cyanide_________________?","CH3NH2, CH3NO2, CH2 = CH – CN","CH3CN"
"Preparation of vegetable ghee involves_________________?","halogenation, hydroxylation, hydration","hydrogenation"
"Which is used for artificial ripening of fruit ?","ethane, ethyne, methane","ethene"
"Which one is Chloroform_________________?","CH2Cl2, CH3Cl, CCl4","CHCl3"
"In unsaturated hydrocarbons electrons favour___________________?","less reactivity, substitution reactions, none","addition reactions"
"Alkenes are produced from dehalogenation of________________?","dihalo alkane, trihalo alkane, vicinal trihalo alkane","vicinal dihalo alkane"
"Which of the following will be acidic_____________?","propyne, 1-butyne, ethyne","all of the above"
"The gas used in manufacturing of urea fertilizer__________________?","C2H6, C2H4, C2H2","CH4"
"Introduction of nitro group in a molecule is called___________________?","halogenation, sulphonation, amination","nitration"
"Which of the following is the most reactive_________________?","ethane, ethyne, benzene","ethene"
"R-Mg-Br is called___________________?","Grignard reagent, Metallic alkyl halide, Alkyl","Both A & B"
"Molozonide is unstable and changes into ozonide on_________________?","reduction, oxidation, hydrolysis","rearrangement"
"Removal of CO2 is called_____________________?","carboxylation, esterification, hydroxylation","decarboxylation"
"Hydrogenolysis results in the formation of________________?","alkene, alkyne, aldehydes","alkane"
"Alkanes are also known as________________?","saturated hydrocarbon, unsaturated hydrocarbon, both A & C","paraffins"
"Alkanes containing a methyl group on main chain at 2nd carbon are called________________?","normal-alkane, neo-alkane, branched-alkane","iso-alkane"
"The anhydride of HCIO4 is_________________?","Cl2O, Cl2O6, ClO2","Cl2O7"
"In which compound of Xenon the oxidation state of Xenon is + 6?","XeF4, XeOF2, Na4XeO6","XeOF4"
"Which of the following is the weakest reducing agent ?","HBr, HC, HI","HF"
"Fluorine can react with_________________?","Xe, Kr, Rn","All of the above"
"Which of the following statements is incorrect about halogens ?","All are non-metals, All the halogens have electronic conviguration ns2p5, They have high electron attinity and ionization energy","All the halogens react with noble gases to form their halides"
"Which of the halogen has highest electronegativity ?","Chlorine, Bromine, Iodine","Fluorine"
"Which of the following oxides of iodine is used for quantitative analysis of CO ?","I2O4, I4O2, All are equally useful","I2O5"
"Bleaching powder is an example of________________?","Normal salt, Double salt, Complex","Mixed salt"
"Which is the strongest acid ?","HCIO, HCIO2, HCIO3","HCIO4"
"Which of the following represents the correct electronic configuration of VII A group elements in the ground state ?","ns2p2, ns2p4, ns2p6","ns2p5"
"Which one of the following is the weakest acid in water__________________?","HCI, HBr, HI","HF"
"Which of the following statements is incorrect about fluorine_______________?","fluorine is restricted to -1 oxidation state, fluorine follows octet rule and as well as extended octet rule, fluorine has lowest dissociation energy among the halogens","both B and C"
"The colour of chlorine gas is_______________?","pale yellow, reddish brown, grayish black","freenish yellow"
"Which is the paramagnetic oxide of chlorine ?","Cl2O7, Cl2O6, all","ClO2"
"Which one of the following halogens is present in Teflon________________?","I2, Br2, Cl2","F2"
"Indicate the correct statement__________________?","Cl2 is the strongest oxidizing agent, Br2 is more reactive than Cl2, Cl2 is insoluble in water","I2 is a volatile solid"
"Photographic plates are coated with a thin film of _________________?","AgNO3, AgI, AgCl","AgBr"
"Which of the following is not use of compounds of Fluorine________________?","SbF3 is used for manufacture of pottery, Sodium fluoroacetate is a rat poison, Cu F2 is used in ceramic industry","None of the above"
"Bleaching powder is not used for bleaching________________?","Cotton, Linen, Paper pulb","Costly fabrics"
"The chemical formula of sodium hypochlorite is________________?","NaClO2, NaClO3, NaClO4","NaCLO"
"Which of the halogen can displace other three elements ?","Chlorine, Iodine, Bromine","Flourine"
"Consider the following reaction- 3Cl2 + 6NaOH ? NaClO3 + 5NaCl + 3H2O This reaction is_______________?","Displacement reaction, Double displacement reaction, Reduction reaction","Disproportionation reaction"
"Consider the following reaction- 2KCIO3 + H2C2O4 + H2SO4 ? K2SO4 + 2H2O + 2CO2 + Oxide Which oxide of chlorine is produced in the above reaction ?","Cl2O, Cl2O6, Cl2O7","ClO2"
"Bromine can be liberated from KBr solution by the action of _______________?","Iodine solution, NaCl, Ki","Chlorine"
"The halogen having highest electron affinity is_____________________?","Fluorine, Bromine, Iodine","Chlorine"
"The halogen which reacts very slowly with halogen is________________?","Fluorine, Chlorine, Bromine","Iodine"
"The halogen which reacts spontaneously with gold (Au) to form Au+3 is ________________?","F2, Br2, I2","Cl2"
"The most powerful oxidizing agent among the halogens is__________________?","Cl2, Br2, I2","F2"
"Vander Waals forces are stronger in_______________?","F2, Cl2, Br2","I2"
"Among the halogens the rare element is________________?","Fluorine, Chlorine, Iodine","Astatine"
"In which compound nitrogen has maximum oxidation state____________________?","N2O, NO2, HNO2","HNO3"
"Oxygen does not react with all except_________________?","Alkali, Acid, Water","Metals"
"FeSO4 forms brown ring with________________?","N2O3, NO2, N2O","NO"
"The gas which cannot be dried by conH2SO4 ?","SO2, CO2, C2H4","H2S"
"Which of the elements show passivity when treated with conHNO3?","Fe, A, Cr","All of the above"
"The element of group VIA which is a non-metal is________________?","Se, Te, Po","S"
"Which one of the following compounds usually smells like garlic ?","P2O5, H3PO3, All have same smell","P2O3"
"The composition of brown ring in nitrate test is_________________?","FeSO4.No2, FeSO4.No3, FeSO4.N2o","FeSO4.No"
"Which one of the following is not the use of graphite ?","Lead pencils, Lubricant, Electrode of electrolytic cell","Abrasive"
"Which of the following does not contain phosphorus ?","Yolk of egg, Bone, Nerves","Steel"
"Which one of following is not a property of pure quartz ?","Brittle, Hard, All of above","Coloured solid"
"Phosphene gas will be produced if phosphorous acid is subjected to___________________?","Oxidation, Reduction, Decomposition","Both b & c"
"The most electronegative element among the following is_________________?","Sb, As, P","N"
"Which one of the followings possesses melting point below 0°C?","Phosphorus, Carbon, Bismuth","Nitrogen"
"When sulphuric acid is treated with ethanol sulphuric acid behaves like________________?","an acid, an oxidizing agent, as sulphonating agent","a dehydrating agent"
"Arsenic oxides are removed by passing through_________________?","Sodium hydroxide, Calcium hydroxide, Aluminium hydroxide","Ferric hydroxide"
"Oxygen and sulphur resemble in all except________________?","Electronic conviguration of valence shell electrons, Show allotropy, Polymeric","Show same oxidation state"
"The chemical composition of cinnabar is__________________?","ZnS, PbS, FeS","HgS"
"Which allotropic form of phosphorous is the most stable ?","White, red, Violet","black"
"All the elements in group VIA are ___________________ in nature?","hygroscopic, metals, all of above","polymeric"
"Phosphoric acid is a weak acid and its basicity is____________________?","1, zero, 2","3"
"P2O5 is a hygroscopic powder which sublimes at______________?","260°C, 630°C, 620°C","360°C"
"Phosphorous acid upon thermal decomposition yields phosphoric acid and____________________?","Phosphorus, Water, Phosphorus pentoxide","Phosphine"
"Acetic anhydride can be obtained by treating ethyl alcohol with___________________?","P2O5, H2SO4, PCI5","Both A and B"
"Allotropic form of phosphorus that is poisonous is___________________?","Red, Black, Violet","White"
"Phosphorus is a Greek word and it means_________________?","Fire, Impure, Tetrahedral","Light bearing"
"Which of the following will give phosphoric acid one reaction with water_________________?","PCI5, P2O3, P2O5","All of the above"
"SO3 is not absorbed in water directly because__________________?","It is insoluble in water, Dilute acid is produced, All of above","Reaction is exothermic"
"Compounds of nitrogen and phosphorus are mostly________________?","ionic, polar, all varieties are possible","covalent"
"Which of the following is different with respect to physical appearance ?","Arsenic, Antimony, Bismuth","Phosphorus"
"Which element can form tripositive ion ?","Beryllium, Carbon, Silicon","Aluminium"
"Boric acid cannot be used__________________?","As antiseptic in medicine, For washing eyes, For enamel and glazes","In soda bottles"
"Identify the correct statement regarding CO_______________?","it combines with H2O to form carbonic acid, it is powerful oxidizing agent, it is used to prepare aerated drinks","it reacts with red blood cells of haemoglobin"
"CO2 is gas while SiO2 is solid at room temperature?","carbon is non-metal while silicon is semi-metal, CO2 forms multiple bond while silicon does not form multiple bonds, Silicon has all sigma bonds","CO2 is an independent molecule while SiO2 has network covalent structure"
"Which of the following is not a use of silicon ?","Lubricants, Hydraulic brakes, Water repellent","Antifreeze"
"Aqueous solution of borax above 62°C gives crystals of________________?","Na2B4O7.4H2O, Na2B4O7.2H2O, Na2B4O7.10H2O","Na2B4O7.5H2O"
"The process of aluminium extraction is called__________________?","Thermite process, Haber process, Contact process","Hall process"
"Which one of the following is not a semiconductor ?","Si, Ge, Se","Sn"
"Tincal is a mineral of___________________?","A1, Si, C","B"
"Which of the following shows inert pair effect ?","boron, carbon, silicon","tin"
"The metal which is used in thermite process because of its activity is____________________?","iron, copper, zinc","aluminium"
"Which of the following does not give Borax bead test ?","Cu, Cr, Ni","A1"
"Substance which is found in dried up lakes of Tibet and California is_______________?","Boric acid, Calcium carbonate, Colemanite","Tincal"
"Boron in soil has been considered micronutrient for_________________?","Soil porocity, Alkalinity of soil, All","Proper growth of plants"
"Which of the following is metasilicic acid ?","H2SnO3, H3AsO4, H3SbO4","H2SiO3"
"Which of the following will decompose to produce litharge_________________?","Pb2O, PbO2, All of the above","Pb3O4"
"If temperature of gallium arsenide is increased then its conductivity will___________________?","decrease, remains constant, first decreases then increases","increase"
"The coloured glassy mass in borax bead test is due to the formation of___________________?","metal borate, metal boride, metal silicate","metal meta borate"
"Boron is non metal while other elements of IIIA group are metals. This is because______________?","it has small size, it has high nuclear charge, it forms molecular addition compounds","all of the above"
"Silicon differ from silica by a group of__________________?","OH, OCH3, O2","Ch3"
"Because of its ability to combine with both oxygen and nitrogen aluminium metal is used_____________?","As nitrometer, To produce alloy, As insulator","To remove air bubbles from molten metal"
"Orthoboric acid is 2.6% soluble in water at 40?C and ___________at 107°","26%, 27%, <2.6%","37%"
"In network of silica (SiO2) each silicon atom is surrounded by _____________ atoms of osygen?","2, 1, 6","4"
"Which electronic configuration corresponds to an element of group IIIA ?","1s2 2s2 2p3, 1s2 2s2 2p4, 1s2 2s2 2p6 3s2 3p6 4s2 3d1","1s2 2s2 2p6 3s2 3p1"
"Aluminium oxide is_________________?","Acidic oxide, Basic oxide, It does not exists","Amphoteric oxide"
"Special features of borate glass is that it is_________________?","Low melting, Used to prepare chemical garden, Green in colour","Heat resistant"
"Borax is a white crystalline solid and it is_________________?","More soluble in cold water, Insoluble in water, Soluble only in organic solvents","More soluble in hot water"
"One of the outstanding features of boron is its ability to form__________________?","Molecular crystals, Semiconductors, Ionic compounds","Molecular addition compounds"
"Boron is non-netal whereas A1 is metal. It is due to_______________________?","Small size, High nuclear charge, No authorized justification yet","Both A and B"
"Ozonolysis of benzene produces___________________?","Glycol, Vicinal diol, Both B & C","Glyoxal"
"The preparation of benzene from acetylene can also be said as_________________?","Oxidation, Dehydration, Condensation","Polymerization"
"Benzene is heated in air with V2O5 at 450°C it undergoes________________?","Substitution reaction, Addition reaction, Elimination reaction","Oxidation reaction"
"Nitronium ion is___________________?","NO3, NO, NO2-","NO2+"
"Benzene does not undergo___________________?","Substitution reaction, Addition reaction, Oxidation reactions","Polymerization reactions"
"Acetophenone is a_____________________?","Ether, Aldehyde, Ester","Ketone"
"Which is fused cyclic aromatic compound _____________________?","diphenyl amine, diphenyl methane, biphenyl","naphthalene"
"Mixture of catalysts Cr2O3 + A?2O3 + SiO2 at 500?C are used when benzene is prepared from_______________?","acetylene, Benzene sulphonic acid, Sodium benzoate","N-hexane"
"Chlorination of toluene in the presence of sublight produces_________________?","o – chlorotoluene, p – chlorotoluene, benzoic acid","Benzyl chloride"
"By which method the molecular mass of benzene was determined as 78.108 ?","Specific gravity method, X-ray diffraction method, Distillation methos","Vapour density method"
"Nitration of chlorobenzene gives___________________?","o – chloronitrobenzene, p – chloronitrobenzene, m – chloronitrobenzene","A & B"
"Aniline is a derivative of benzene which contains__________________?","Imino group, Amide group, Nitro group","Amino group"
"In benzene sulphonic acid the sulphonic group is attached with benzene ring through ___________________?","Hydrogen, Oxygen, OH","Sulphur"
"The hydrolysis of Benzenetrizonide will yield three moles of____________________?","Glyoxime, Benzaldehyde, Glycol","Glyoxal"
"What is the molecular formula of Benzenetriozonide ?","C6H5O8, C6H5O9, C6H6O6","C6H6O9"
"Which compound form benzoic acid on oxidation with acidified KMnO4 or K2Cr2O7 ?","Toluene, Ethyl benzene, n-propyl benzene","All"
"Replacement of hydrogen of benzene by alkyl group in the presence of alkyl halide & aluminum chloride is known as__________________?","Dows process, Friedel & Craft acylation, Clemmenson reduction","Friedel & Craft alkylation"
"Which one of the following statement is not correct about benzene ?","On hydrogenation 208 KJ/mole is liberated, C-H bond length in benzene is 1.09 A?, Molecular mass of benzene is 78.108","Resonance energy of benzene is 150.5 K Cal/mole"
"Which compound will readily undergo sulphonation ?","Benzene, Nitro benzene, Chlorobenzene","Toluene"
"During sulphonation of benzene H2SO4 generates the electrophile _________________?","HSO4-, SO2, H+","SO3"
"Reacting bromine with benzene in the presence of sunlight will result in_______________?","The rupturing of benzene ring, Substitution reaction, No-reaction","Addition reaction"
"Which one of the following methods will not give benzene ?","Heating soSalt of Benzoic acid with soda lime, Distilling phenol with Zn dust, Hydrolysis of benzene sulphonic acid with super heated steam","Chlorobenzene with NaOH at 360°C & 150atm."
"What catalyst is employed when benzene is prepared from acetylene at 70°C?","Cr2O3 + A2O3 + SiO2, Raney nickel, Ni 250 – 300°C","Organo-nickel"
"The resonance energy of benzene is__________________?","250.5 kJ/mol, 150.5 Cal/mol, 250.5 Cal/mol","150.5 kJ/mol"
