question,wrong_choices,correct_answer
"Standard and Poor’s (S&P) on 5 May 2015 has raised Pakistan’s credit rating outlook from?","negative to stable, negative to stable+, stable to positive+","stable to positive"
"The Head Office of Institute of Chartered Accountants of Pakistan (ICAP) is in __________?","Lahore, Islamabad, Rawalpindi","Karachi"
"The GSP Plus status to Pakistan has been granted till __________?","2015, 2019, 2021","2017"
"The first session of All India Muslim League was presided over by _________?","Sir Saleemullah, Nawab Waqar-ul-Mulk, Sir Aga Khan","Sir Adamjee Pir Bhai"
"The first president of All India Muslim League were __________?","Sir Saleemullah, Nawab Waqar-ul-Mulk, Sir Adamjee Pir Bhai","Sir Aga Khan"
"The GSP Plus status will allow Pakistan to export products without duties to __________ European States?","25, 26, 27","28"
"The largest source of electricity generation in Pakistan is __________?","Hydal, Wind, Solar","Thermal"
"The Jhimpir Wind Power Plant is located in __________ district.","Karachi, Badin, Khuzdar","Thatta"
"Dar-ul-Uloom Deoband was founded by __________?","Maulana Mehmood-ul-Hassan, Maulana Hussain Ahmed Madni, Maulana Rasheed Ahmed","Maulana Muhammad Qasim Nanautawi"
"Sindh Madrasah-tul-Islam, Karachi was founded by _____________?","Sir Aga Khan, Khalifa Hameeduddin, Sir Syed Ahmed Khan","Aga Hassan Ali Effendi"
"The objective resolution of Pakistan was passed on____________?","March 12, 1948, August 12, 1948, August 12, 1949","March 12, 1949"
"Muhammad Ali Bogra’s formula was presented to the constituent assembly on __________?","March 7, 1952, October 7, 1952, March 7, 1953","October 7, 1953"
"_________allowed East India Company to reside and build factories inSurat","Humayun, Akbar, Shah Jahan","Jahangir"
"The constitution of 1973 was came into effect on __________?","March 12, 1973, March 23, 1973, September 06, 1973","August 14, 1973"
"Faisal Mosque was built by a/an ____________architect?","Saudi, American, French","Turkish"
"Tarbela Dam is located in district___________?","Wazirabad, Jhelum, Mirpur","Haripur"
"Mirani Dam is located in __________ District?","Swabi, Khuzdar, Pashin","Turbat"
"The Iran-Pakistan gas pipeline is also called___________?","friendship pipeline, future pipeline, unity pipeline","peace pipeline"
"The Iran-Pakistan gas pipeline was officially inaugurated on____________?","March 13, 2013, March 15, 2013, March 17, 2013","March 11, 2013"
"Who chose the name of Pakistan?","Quaid-e-Azam, Allama Iqbal, Hafiz Jalandhri","Chaudry Rehmat Ali"
"The National Anthem of Pakistan is written by?","Quaid-e-Azam, Allama Iqbal, Chaudry Rehmat Ali","Hafiz Jalandhri"
"Who was convicted in Rawalpindi Conspiracy Case?","Habib Jalib, Shorash Kashmiri, Hafiz Jalandhri","Faiz Ahmed Faiz"
"Pakistan purchased Gawader from ____________?","Iran, Kuwait, None of these","Oman"
"Coal-based power project is approved at _________?","Khairpur, Thatta, Karachi","Jamshoro"
"The foundation stone of Diamer-Bhasha Dam was laid by ____________?","Nawaz Sharif, Shaukat Aziz, Asif Zardari","Yousuf Raza Gilani"
"Contract to Operate Gwadar Port was given to __________?","United States, Saudi Arabia, Dubai","China"
"Iran to set up oil refinary in _________?","DG Khan, DI Khan, Quetta","Gwadar"
"Who serves as the Acting Prime Minister in the absence of Prime Minister?","Federal Senior Minister, Chairman Senate, Foreign Minister","Speaker National Assembly"
"Pakistan General Elections 2013 were held on __________?","10 May 2013, 12 May 2013, 13 May 2013","11 May 2013"
"Nawaz Sharif sworned in as Prime Minister of Pakistan on __________?","02 June 2013, 07 June 2013, 09 June 2013","05 June 2013"
"The newest district of Balochistan is __________?","Sheerani, Jhal Magsi, Washuk","Lehri"
"The first Pakistani woman to scale Mount Everest is _________?","Saba Khan, Ayesha Ishaq, Shiza Bilal","Samina Khayal Baig"
"Gomal Zam Dam has been constructed in __________?","North Waziristan Agency, Khyber Agency, Mohmand Agency","South Waziristan Agency"
"Gomal Zam Dam was inaugurated on 12 September 2013 by ____________?","Nawaz Sharif, Asif Zardari, Gen. (R) Ashfaq Pervez Kiyani","Khawaja Muhammad Asif"
"India has constructed “Baglihar Dam” in __________ district of Occupied Kashmir?","Udhampur, Poonch, Jammu","Doda"
"India is constructing “Kishanganga Dam” on the __________ River?","Indus, Ravi, Sutlej","Jhelum"
"The total number of Agencies in (FATA) Federally Administrated Tribal Areas are__________?","5, 6, 8","7"
"General Raheel Sharif took oath as Army Chief on __________?","23 November 2013, 25 November 2013, 27 November 2013","29 November 2013"
"Militants attacked Quaid’s residency in _________?","Karachi, Quetta, London","Ziarat"
"The deadly Earthquake striked Balochistan on ______________?","22 September 2013, 26 September 2013, 28 September 2013","24 September 2013"
"Who is the writer of Urdu Book “Pakistan Naguzeer tha”?","S.M. Ikram, I.H. Kureshi, Professor Khalilullah","Syed Hasan Riaz"
"Who was the first Muslim Nobel Laureate?","Dr Abdus Salam, Dr Muhammad Younus, Shah Faisal","Anwar Sadaat"
"Global Islamic Finance Awards (GIFA) 2013 was awarded to?","Raja Nazrin Shah, Abdullah Badawi, Ishaq Dar","Shaukat Aziz"
"India has constructed Baglihar Dam on the __________ river?","Indus, Sutlej, Jhelum","Chenab"
"The altitude of K2, the second highest mountain on the Earth is __________ feet?","28451, 28651, 28851","28251"
"The Nehru Report was published in ___________?","April 1927, August 1927, April 1928","August 1928"
"Rowlatt Act came into operation in __________?","1917, 1918, 1920","1919"
"All India Khilafat Committee was formed on __________?","05 August 1919, 05 September 1919, 05 October 1919","05 July 1919"
"The Khilafat in Turkey was abolished on __________?","03 March 1922, 03 March 1923, 03 March 1925","03 March 1924"
"The Indian Councils Act (Minto-Morley Reforms) was enacted into law in __________?","1910, 1911, 1912","1909"
"In March 1920, an Indian Khilafat Deputation visited EnglanThe Deputation was headed by?","Sir Aga Khan, Mohsin-ul-Mulk, Sir M. Shafi","Maulana M.Johar"
"Name the highest glacier of Pakistan is____________?","Hispar, Butura, Baltoro","Siachen"
"What is the total length of Hispar glacier?","61 km, 57 km, 59 km","49 km"
"Which of the following glaciers are present in Karakoram range?","Siachen,Hispar and Biafo, Batura, Chogo Lungma and Yengunta","All of these"
"How much area of Mountain region is covered by glaciers in Pakistan?","17%, 21%, 20%","13%"
"Baltoro galcier is situated in the mountain range of__________?","Hindu Kush, Himalayas, Sulaiman","Karakoram"
"How much total production of oil is produced by Dhulian and Balkassar oil fields?","70%, 80%, 85%","90%"
"Kalabagh is famous for the mineral of____________?","Sulphur, Salt, None of these","Iron"
"How much of the total Natural Gas of Pakistan is obtained from Sui?","38%, 40%, 33%","43%"
"The first gas field of Pakistan discovered in 1952 was at__________?","Dhulian, Mial, Pirkoh","Sui"
"Which area has the biggest deposits of iron ore?","Koh-i-Sultan, Chitral, Koh-i-Sulaiman","Kalabagh"
"Which of the following areas are important for mineral wealth in Pakistan?","Areas of Wazirastan, Chitral, Northern Eastern Balochistan","All of these"
"Sulphur is found in?","Koh-i-Sultan, Hyderabad, Chitral","All of these"
"Pakistan Mineral Development Corporation was established in?","1979, 1981, 1978","1974"
"Chromite is found in Pakistan in the area of___________?","Kalat, Chitral, Kalabagh","Muslim bagh"
"How many oil refineries are working in Pakistan?","2, 6, 8","4"
"The deposits of copper, gold and silver have been discovered at_________?","Aghari, Dadhak, Dakhni","Saindak"
"When the production of iron ore started in Pakistan?","1949, 1951, 1958","1957"
"Name the biggest Hockey Stadium of Pakistan?","Hockey Stadium Faisalabad, Hockey Stadium Islamabad, National Stadium Karachi","National Hockey Stadium Lahore"
"Name the biggest Commercial Bank of Pakistan?","Muslim Commercial Bank, United Bank Ltd, Al-Falah Bank","Habib Bank Ltd"
"Which is the biggest Desert found in Pakistan?","Cholistan, Rohi, None of these","Thar"
"Name the biggest Park (area wise) in Pakistan is____________?","Bagh-e-Jinah Lahore, Changa Manga, None of these","Ayub National Park"
"Which is the biggest mosque in Pakistan","Jamia Mosque Karachi, Shahi Mosque Lahore, Chandni Mosque Peshawar","Faisal Mosque Islamabad"
"Which one of the following is the biggest natural lake found in Pakistan?","Lalusar, Saif-ul-Muluk, Sat Para","Manchar"
"Which one of the following is the biggest man made lake found in Pakistan?","Hub lake, Manchar lake, Halegi lake","Keenjhar lake"
"The biggest airline of Pakistan is___________?","Blue Airways, Ithiad Airline, None of these","PIA"
"Which is the biggest cricket stadium in Pakistan?","Iqbal Stadium Faisalabad, Qaddafi Stadium Lahore, None of these","National Stadium Karachi"
"Where is the biggest hydro-electric power station found in Pakistan?","Khanpur dam, Mangla dam, Warsak dam","Tarbela dam"
"The biggest market of Pakistan exports is___________?","China, Saudi Arabia, U.K","USA"
"Who was the first Chief Minister of Sindh?","Muhammad Sharif, Zafarullah Khan, Ali Saeed","Ayub Khoro"
"Who was the first Commander-in-Chief of Pakistan Army?","G.M. Ayub Khan, Gen. George Murphy, Gen. Sadique Chaudhry","Gen. Frank Meservy"
"Who was the first Chief Minister of Punjab?","Sardar Abdur Rab Nishtar, Ayub Khoro, Muhammad Sharif","Nawab Iftikhar Hussain Khan Mamdot"
"Which one of these is first Cruise Missile of Pakistan?","Ra’ad, AGM-65 Maverick, None of these","Hatf VII (Babur)"
"Who was the first Commander-in-Chief of Air Force?","Air Marshal Frank Murphy, Air Marshal Asghar Khan, Air Vice Marshal Zafar Khan","Air Vice Marshal Allan Perry Keene"
"Who was the first Governor of KPK?","Muhammad Sadiq Chaudhry, Muhammad Sharif, Frank Meservy","Sir George Cunningham"
"Who was the first President of Pakistan?","Malik Ghulam Muhammad, Muhammad Ali Jinnah, Sir Khawaja Nazimuddin","Iskander Mirza"
"Who was the first Governor of Balochistan?","Sahibzada Muhammad Khurshid, Ayub Khan, Muhammad Sadique Chaudhry","Lt Gen Riaz Hussain"
"China Pakistan Economics Corridor (CPEC) total length ?","2896 KM, 7200 KM, 4400 KM","2442 KM"
"When was the first Pakistani Postal Stamp issued?","August 1948, December 1947, February 1948","July 1948"
"Baran river is flowing in the province of____________?","KPK, Balochistan, Punjab","Sindh"
"The Kabul river merges into___________?","Jhelum river, Kuram river, Kaghan river","Indus river"
"Ras Koh range is situated in______________?","Indus plain, Karakoram, Kirthar range","Balochistan"
"The Ravi River falls in____________?","Indus, Sutlej, Jhelum","Chenab"
"Indus river originates from______________?","Kashmir, Ladakh, Jammu","Tibet"
"The first bio-gas plant was installed in__________?","1975, 1972, 1978","1974"
"The number of barrages constructed on river Indus are____________?","7, 4, 0","6"
"The smallest dam in Pakistan is______________?","Tarbela, Mangla, Chashma","Warsak"
"Largest hospital in Pakistan is_____________?","Service hospital Lahore, Jinnah hospital Lahore, Shaukat Hanam Lahore","Nishtar hospital multan"
"Bolan and Rukshan are the rivers flowing in____________?","KPK, Punjab, None of these","Balochistan"
"The Chaghi hills are located near___________?","Near Sibi, Pak-Afghan border, At China border","Near Quetta"
"In which of the following provinces Swat, Gomal, Karum and Kabul river flow?","Balochistan, Sindh, Punjab","KPK"
"The length of Ravi River is_______________?","730 km, 725 km, 760 km","720 km"
"The number of rivers in Balochistan is____________?","10, 8, 9","7"
"Gomal river starts from_____________?","Iran, KPK, Balochistan","Afghanistan"
"Which of the following is the oldest dam of Pakistan?","Tarbela, Mangla, Gomal zam","Warsak"
"The number of rivers in Sindh is_____________?","3, 2, 5","4"
"Warsak dam is situated on river_____________?","Indus, Swat, Chenab","Kabul"
"The Indus plain covers an area of about____________?","205,000 sq. miles, 206,000 sq. miles, 207,000 sq. miles","200,000 sq. miles"
"River Ravi originates from____________?","Northern areas of Pakistan, Tibet, Jammu and Kashmir","Himachal Pardesh"
"The lower Chenab canal starts from___________?","Rasul, Trimun, None of them","Khanki"
"Wular lake is situated on the river___________?","Gomal, Kabul, Ravi","Jhelum"
"Taunsa barrage is situated on______________?","Ravi, Jhelum, Zhob","Indus"
"Who became second Prime Minister of Pakistan?","Choudhry Mohammad Ali, Mohammad Ali Bogra, Malik Feroz Khan Noon","Khwaja Nazimuddin"
"Which country accepted Pakistan first?","Iraq, Indonesia, China","Iran"
"Which headworks of canals irrigating Pakistani areas were unlawfully given to India?","Madhopur, Ferozpur, none of them","both of them"
"For how much rupees Ranjit Singh sold the Kashmir?","80 lacs, 70 lacs, 65 lacs","75 lacs"
"India made a cowardly attack on Lahore which resulted as war between two countries. When this war broke out?","9th Sep 1965, 7th Sep 1965, 8th Sep 1965","6th Sep 1965"
"After the war of 1965 which pact was signed between India and Pakistan?","Bilateral Pact, Moscow Pact, Soviet Pact","Tashkant Pact"
"Who represented Pakistan in Tashkant Meeting?","Gen. Yahya Khan, Mr. Zulfiqar Ali Bhutto, Gen. Iskander Mirza","Gen. Ayub Khan"
"Which incident took place in 1971 which provided India chance to attack on Pakistan?","Attack on Indian parliament, Skirmishes on Border, All of them","Indian drama of hijacking their own plane"
"When PPP was established?","October 1967, August 1967, December 1967","November 1967"
"Two indian agents pretending to be Kashmiris hijecked an indian plane on day__________?","27 Jan 1971, 28 Jan 1971, 29 Jan 1971","30 Jan 1971"
"What was the name of Indian plane that was hijacked in 1971?","Jamna, Bangla, Lanka","Ganga"
"When East Pakistan separated from West Pakistan?","26th December 1971, 22nd December 1971, 19th December 1971","16th December 1971"
"India recognized the provisional Government of Bangladesh on?","December 6, 1971, January 1, 1972, December 18, 1971","December 16, 1971"
"What was the main difficulty which delayed the constitution making in Pakistan?","Exact nature of the State, Lack of intererst among members of the Constituent Assembly, Corrupt administration","The distribution of powers between Federal and Provincial Governments"
"The largest chunk of Punjab Government’s Budget (1999-2000) went to the social sector. Which field got the lion’s share?","Health, Education, Housing and Roads","Industry"
"Governor – General Ghulam Muhammad dismissed the Prime Minister Kh. Nazimuddin on April 19, 1953 due to?","Patronage of corruption, Vote of no – confidence was passed in the Consituent Assembly, Political tension created by partisan appeal","Prime Minister Kh. Nazimuddin proved to be incompetent to grapple with the difficulties faced by the country"
"Who had the shortest tenure as Governor General of Pakistan?","Ghulam Muhammad, Kh. Nazimmuddin, Muhammad Ali Jinnah","Maj-Gen (R) Iskandar Mirza"
"Which country is situated in the east of Pakistan?","China, Afghanistan, Iran","India"
"The Objective Resolution of March 12, 1949 was passed by the Constituent Assemble with what significance?","It does not provide solution to economic problems of the people, It mixes religion with politics, It makes working of the Government complicated","It is a Magna Carta of the constitutional history of Pakistan"
"An agreement for cooperation was sighned during Turkish President Kennan Everno’s visit to pakistan in Feb 1980 in the field of?","Defence production, Tourism, Shipping","Research and Development"
"Sindh Muslim League passed on of the following resolutions in 1938?","Federalism to continue, Muslims to join other communities for political progress, Concentration on education","Resolved to have division of India on the basis of Two Nation Theory"
"How many times did squash player Jansher Khan win World Open?","6, 7, 9","8"
"Which Pakistani Prime Minister received Indian Prime Minister Atal Behari Vajpayee when he arrived by bus to Lahore?","Benzair Bhutto, Shujat Hussain, Shaukat Aziz","Nawaz Sharif"
"When did Pakistan become a Republic?","14/8/1947, 16/12/1971, 12/10/1999","23/3/1956"
"Who succeeded Zia Ul Haque as President of Pakistan?","Rafiq Tarar, Farooq Ahmed Khan Leghari, Benzair Bhutto","Ghulam Ishaq Khan"
"Pakistan opened its first embassy in___________?","China, Afghanistan, India","Iran"
"First head of state to visit Pakistan in 1947 was__________?","Ameer of Saudi Arabia, Ameer of Iran, None of these","Ameer of Kuwait"
"India stopped the passage of water from the rivers Ravi and Sutluj in________?","February 1948, March 1948, June 1948","April 1948"
"Quaid-e-Azam relief fund was set up in__________?","September 1948, September 1946, October 1947","September 1947"
"India and Pakistan mutually came to an agreement that Pakistan would get_______ Rs. as her share","700 crore, 650 crore, 600 crore","750 crore"
"Pakistan Fund was setup by Quaid in________?","Jan 1947, Feb 1947, July 1947","June 1947"
"State Bank of Pakistan was inaugurated by Quaid in__________?","June 1948, Feb 1948, Jan 1948","July 1948"
"Who was called the iron man of NWFP?","Ayub Khoro, Liaqat Ali Khan, None of these","Khan Qayyum Khan"
"First Finance Minister of Pakistan was?","Fazlur Rehman, Fahmeeda Mirza, None of these","Ghulam Muhammad"
"Peer Sahib Manki Shareef founded the following party in September 1949?","PPP, PML-N, MQM","Awami Muslim League"
"Youngest Prime Minister of Pakistan was_________?","Fahmeeda Mirza, Ghulam Muhammad, None of these","Benazir Bhutto"
"First Chairman of the Senate was?","Syeda Abida Hussain, Shahida Jamil, Tasleem Aslam","Habib Ullah Khan"
"First TV station of Pakistan was at_________?","Karachi, Multan, Faisalabad","Lahore"
"First public airline of Pakistan was__________?","PIA, Blue Airways, None of these","Orient Airline"
"First private Airline of Pakistan was _______________?","PIA, Blue Airways, Hajvery Airline","Orient Airline"
"First female minister of law and human rights was__________?","Tasleem Aslam, Dr. Attiya Inayatullah, Syeda Abida Hussain","Shahida Jamil"
"First female Minister of Population?","Tasleem Aslam, Shahida Jamil, None of these","Dr. Attiya Inayatullah"
"First female deputy speaker in Pakistan?","Begum Rana Liaquat Ali Khan, Noor Jehan Panezai, None of them","Begum Ashraf Abbasi"
"First Lady Major General in the Pakistan Army was?","Shehzadi Gulfam, Shaista Ikramuliah, Benazir Bhutto","Dr. Shahida Malik"
"First Vice President of Pakistan was__________?","Liaquat Ali Khan, Ayub Khoro, None of these","Nur-ul-Amin"
"First Joint chief of Staff Committee was________?","Gen. Frank Meservy, G.M. Ayub Khan, Lt Gen Riaz Hussain","General Muhammad Shariff"
"First Foreign Minister of Pakistan was________?","Lt Gen Riaz Hussain, Liaquat Ali Khan, None of these","Sir Zafarullah Khan"
"First DNA Test laboratory was established at___________?","Lahore, Karachi, Quetta","Islamabad"
"First SOS village of Pakistan was__________?","Karachi, Sialkot, Multan","Lahore"
"First female vice chancellor in Pakistan was__________?","Shaista Ikramuliah, Begum Ra’na Liaqat AN Khan, None of these","Najma Najam"
"First female representative of Pakistan in the UN was?","Shamshad Akhtar, Benazir Bhutto, Najma Najam","Shaista Ikramuliah"
"First women pilot in Pakistan was?","Shehzadi Gulfam, Shahida Malik, None of these","Shukriya Khanam"
"Jinnah Barrage is located in which city?","Attock, Karachi, Sialkot","Mianwali"
"The common value among the people of Pakistan is?","Dress, Language, Habits","Islam"
"Indus plain is subdivided into how many parts?","Three, Four, Five","Two"
"The plain areas in Sindh, Bahawalpur and Rachina Doaab are called _________?","Reverine plain, Meander plain, Non area plain","Cover flood plain"
"The 4th SAARC Games were hosted by ___________?","India, Sri Lanka, Nepal","Pakistan"
"The severity of 2005 earthquake in Pakistan on Richter scale was ?","6.9, 7.1, none","7.6"
"where is Begum Nusrat Bhutto International Airport?","Islamabad, Lahore, Hyderabad","Sukkur"
"How many Airports are in Sindh?","10, 20, 25","15"
"Sheena is a local language of __________ ?","Sindh, Punjab, None of them","Gilgit Baltistan"
"In summer season polo tournaments are held in ________ ?","Sindh, Punjab, None of them","Gilgit Baltistan"
"Polo game originated from __________ ?","Gilgit Baltistan, USA, Subcontinent","Iran"
"The capital of Gilgit Baltistan is __________ ?","Pamir, Baltistan, Hunza","Gilgit"
"Which Pakistani area is sandwiched between China and Indian-held Kashmir?","Astor, Chitral, Kalash","Baltistan"
"Baltistan is called _________ ?","Paradise, Beauty of Earth, Land of Fairies","Little Tibet"
"Who is the first Chief Minister of Gilgit Balitistan?","Qamar-u-Zaman Kaira, Wazir Baig, Pir Karam Shah","Syed Mehdi Shah"
"Which valley is known as “Roof of the world”?","Chitral, Chilas, Skardu","Baltistan"
"Who was the first Women Governor of Gilgit Balitistan?","Qamar-u-Zaman Kaira, Wazir Baig, Pir Karam Shah","Begum Shama Khalid"
"Who was the first Governor of Gilgit Balitistan?","Begum Shamma Khalid, Wazir Baig, Pir Karam Shah","Qamar-u-Zaman Kaira"
"Second Highest mountain of the world K-2 is located in __________?","KPK, FATA, Kashmir","Gilgit Baltistan"
"Who is called Mujahid-e-Awal of the Kashmir Freedom Movement?","Sardar Muhammad Ibrahim Khan, Sardar Sikandar Hayat Khan, Moulana Muhammad Yousaf","Sardar Muhammad Abdul Qayyum Khan"
"Kotli is famous city of __________ ?","KPK, FATA, ICT","AJ&K"
"Mangla dam is located in ____________?","Punjab, KPK, FATA","AJ&K"
"The capital of Azad Jammu & Kashmir is ___________?","Bhimber, Mirpur, Bagh","Muzzafar Abad"
"River Neelum is situated in _________?","KPK, FATA, Panjab","AJ&K"
"Regional Languages of Kashmir are __________?","Punjabi, Hindko, All of them","Kashmiri"
"How many districts are in Kashmir ?","6, 8, 12","10"
"National Language of AJ&K is __________?","Kashmiri, Punjabi, None of them","Urdu"
"Who was the first Prime Minister of Azad Kashmir?","Sardar Muhammad Ibrahim Khan, Sardar Sikandar Hayat Khan, Moulana Muhammad Yousaf","Khan Abdul Hameed Khan"
"Who was the first President of Azad Kashmir?","Sardar Muhammad Abdul Qayyum Khan, Sardar Sikandar Hayat Khan, Moulana Muhammad Yousaf","Sardar Muhammad Ibrahim Khan"
"The area of Azad Jammu & Kashmir is ___________?","12,297sq km, 14,297sq km, 11,297sq km","13,297sq km"
"In FATA the tribal laws and judiciary function is looked by the _________?","Jirgha, Federal Govt, Tribes Council","All of them"
"FATA comprises of ___________?","5 Agencies, 8 Agencies, 6 Agencies","7 Agencies"
"Major languages of FATA are __________?","Urdu, both A & B, None of them","Pashto"
"The total area of FATA is ____________?","29,220sq, km, 28,220sq, km, 30,220sq, km","27,220sq, km"
"The meaning of FATA is ?","Federally Administrated Territory Areas, A & B, None of them","Federally Administrated Tribal Areas"
"Height of Islamabad from sea level is _________?","1600 ft, 1500 ft, 1400 ft","1700 ft"
"Daman-e-Koh is located in ____________?","Rawalpindi, Abbottabad, Multan","Islamabad"
"Golra Sharif is famous for the shrine of ______________?","Bari Imam, Pir of Zakori, Punj Pir","Pir Mehar Ali Shah"
"The largest source of drinking water for Islamabad is ___________?","Rawal Dam, Ghazi Dam, Haru Dam","Khanpur Dam"
"Quaid-e-Azam University is located in ________ ?","RawalPindi, Abbottabad, Multan","Islamabad"
"The Naval Headquarters is located in _________ ?","Rawalpindi, Lahore, None of them","Islamabad"
"Famous Shakar Parrian Park is located in _________ ?","Rawalpindi, Nmurree, None of them","Islamabad"
"The largest mosque of Pakistan located in Islamabad is called _________ ?","Badshahi Mosque, Garrison Mosque, None of them","Shah Faisal Mosque"
"Ayoub National park is situated in ?","Nurree, ICT, None of them","Rawalpindi"
"Total area of ICT is ___________?","806 sq.km, 1006 sq.km, 1106 sq.km","906 sq.km"
"The Proposed Margalla hills tunnel project connect Islamabad with which city?","Sawabi, Abbotabad, Dhodail","Haripur"
"How many Peaks in Pakistan are higher than 7000 meters","117, 125, 191","108"
"Gasherbrum I is also known as _____________?","Killer Peak, White Peak, Black Peak","Hidden Peak"
"In which year the Broad Peak was first climbed?","1953, 1955, 1954","1957"
"Who was the first person the climb the Nanga parbat?","Martin Conway, R.d Banerjee, Ashraf Aman","Hermann Buhl"
"What is the Height of Broad Peak?","8126 meters, 8092 meters, 8075 meters","8047 meters"
"What is the Meaning of Nanga Parbat ?","Killer Mountain, Dead Place, Seven Mountains","Naked Mountain"
"How many peaks in the Pakistan are Higher than 8000 meters?","4, 3, 8","5"
"Which range lies along the border of Sindh and Baluchistan Province?","Chaghi, Makran range, Koh-e-Sufaid","Kirthar range"
"Which range separate Baluchistan Plateau from Afghanistan?","Makran, Turbat, Kirthar range","Chaghi"
"What is the average height of Karakoram range ?","7500 meters, 7100 meters, 7300 meters","7000 meters"
"Which is the highest peak of Koh-e-Sulaiman range ?","Tirichmir, K-2, Sakar","Takhat-e-Sulaiman"
"Which is the highest peak of Salt range?","Tirichmir, K-2, Nanga parbat","Sakasar"
"Which is the Highest peak of Himalayas range in Pakistan ?","K-2, Tirichmir, Sakasar","Nanga Parbat"
"Which is the highest peak of Karakoram range ?","Kilik peak, Nanga Parbat, Tirichmir","K-2 peak"
"Which of the following areas from potwar Plateau ?","Rawalpindi, Jhelum, Mianwali","All of above"
"What is the average height of Chaghi range ?","3500 meters, 2500 meters, 4000 meters","3000 meters"
"The height of Potwar Plateau is ?","200-500 meters, 320-550 meters, 380-650 meters","300-600 meters"
"What is the average height of salt range ?","700 meters, 640 meters, 590 meters","675 meters"
"What is the average height of Takhat-e-Sulaiman peak ?","3200 meters, 3500 meters, 3310 meters","3300 meters"
"What is the height of Sakasar peak ?","1600 meters, 1680 meters, 1700 meters","1500 meters"
"What is the maximum height of Kirthar Range ?","2500 meters, 2375 meters, 2275 meters","2150 meters"
"What is the average height of Koh-e Sufaid?","3200 meters, 3500 meters, 5560 metes","3000 meters"
"The direction of Hindukush is from ?","South-West, North-East, North-South","North-West"
"The Hindu kush range starts at the ?","China Border, Afghan border, Karakoram","Pamir Platean"
"“The place where heaven and earth meet” these words are said about which place ?","Chitral, Kalash, Swat","Punial"
"Which is the highest peak of the koh-e-Sufaid Range ?","Sakasar, Broad Peak, Nanga Parbat","Skaram"
"Which of the following mountain peaks is called Killer Mountain ?","Godwin Austin, Broad Peak, Raka Poshi","Nanga Parbat"
"World Inventor’s Day is celebrated on _____________?","8th April, 31st April, 23rd April","9th November"
"The height of Himalaya range increases as it moves from ?","East to West, North to South, West to East","South to North"
"The Salt range is situated between rivers soan and _____________?","Chenab, Kabul, Huro","Jhelum"
"World Tuberculosis Day is observed on ____________?","21st March, 26th March, 25th March","24th March"
"What is the Height of Tirichmir peak ?","7350 meters, 7870 meters, 7140 meters","7708 meters"
"Identify the second highest Glacier of the world ?","Baltora Glacier, Batura Glacier, None of them","Siachin Glacier"
"What is the height of Siachin Glacier ?","23,000 feet, 25,000 feet, 27,000 feet","20,000 feet"
"The length of Baltur Glacier is ____________ ?","58km, 65km, 70km","62km"
"Baltura Glacier is located in _____________ ?","Punjab, Sindh, KPK","Gilgit Baltistan"
"On which date is Death Anniversary of Quaid e Azam observed ?","9th November, 21st March, 11th October","11th September"
"The length of Siachen Glacier is ___________ ?","60km, 50km, 80km","76km"
"How many peaks above 8,000 meters are found in Pakistan ?","7, 9, 3","5"
"The height of Nanga Parbat is ____________ ?","7,521m, 6,125m, 9,500m","8,126m"
"Quaid-e-Azam Day is observed on ___________ ?","1st May, 15th May, 21st May","25th Dec"
"Nanga Parbat is ranked as the __________ highest mountain peak of the world ?","10th, 8th, 5th","9th"
"Name the range which separates Pakistan from Afghanistan?","Himalayas, Pmir, Karakoram","Hindu Kush"
"Name of range which separates China from Pakistan ?","Hindu Kush, Pamir, Himalayas","Karakoram"
"Which Range is called Roof of the World ?","Karakoram, Hindu kush Range, Himalayas Range","Pamir Plataau"
"Nanga Parbat is the part of ?","Hindu Kush, Karakoram, Pamir","Himalayas"
"K-2 is present in which mountains range ?","Pamir, Hindu kush, Himalayas","Karakoram"
"Which is the youngest mountain range on the earth ?","Hindu kush, Korakoram, Alps","Himalayas"
"K-2 is Also Known As _______________ ?","Broad Peak, Roshan Peak, Sia Kingri","Godwin Austin"
"K-2 peak is the _________ Highest peak of the World ?","First, Third, Fourth","Second"
"Pakistan Air Force Day is celebrated on ___________ ?","21st February, 8th March, 21st March","7th September"
"Pakistan day is observed on ?","5th February, 8th March, 21st March","23rd March"
"Which is the Highest peak of Pakistan ?","Broad Peak, Sia kingri Peak, Kilik Peak","K-2"
"Oldest mountains of the world are present in india and youngest mountain of the world are present in ?","China, India, Burma","Pakistan"
"The Largest Coal Reservoir are found in ____________ ?","Karachi, Thal, Thatta","Thar"
"The shrine of Abdullah Shah Ghazi is located in ___________ ?","Nawab Shah, Hala, Thatta","Karachi"
"First Capital of Pakistan was ____________ ?","Hyderabad, Lahore, Rawalpindi","Karachi"
"Malakhra is a traditional game of __________ ?","Punjab, KPK, None of them","Sindh"
"Which city is on the border of Sindh and Punjab Provinces ?","Rajanpur, Mithan Kot, None of them","Kashmore"
"Which city of the Sindh is popular for woodwork industry ?","Thattha, Kotri, Larkana","Hala"
"Risalo is the best known collection of romantic poetry in the ________ Language.","Urdu, Arabic, Persian","Sindhi"
"Shah Abdul Latif is the author of _____________ ?","Sassi Pannu, Heer Ranjha, Shahnama","Shah jo Risalo"
"Largest city of Pakistan is __________ ?","Sukkar, Hyderabad, Lahore","Karachi"
