question,wrong_choices,correct_answer
"Titan, a moon of __________ , and Triton, a moon of _________ , have atmospheres mainly of _________.","Saturn, Jupiter, Hydrogen, Uranus, Neptune, Nitrogen, Mars, Venus, Hydrogen","Saturn, Neptune, Nitrogen"
"The planet retains an atmosphere when?","Gravity is low and temperature of atmosphere is great, Gravity and temperature both are great, Gravity and temperature both are constant","Gravity is great and temperature of atmosphere is low"
"Atmospheric pressure is the force (per unit-area) perpendicular to a unit-area of planetary surface, as determined by _________.","Mass of vertical column of atmospheric gases, Mass of horizontal column of atmospheric gases, Mass of vertical and weight of horizontal of atmospheric gases","Weight of vertical column of atmospheric gases"
"___________ begins at 690 to 1,000 km from the surface, and extends to roughly 10,000 km.","Troposphere, Mesosphere, Stratosphere","Exosphere"
"Which of the following is true about Ionosphere?","Its density is lesser at short distances from planetary surface in morning and further decreases as ionosphere rises at night-time, thereby allowing a greater range of radio frequencies to travel greater distances, Its density is greater at long distances from planetary surface in daytime and further increases as ionosphere rises at night-time, thereby allowing a greater range of radio frequencies to travel greater distances, None of the above","Its density is greater at short distances from tplanetary surface in daytime and decreases as ionosphere rises at night-time, thereby allowing a greater range of radio frequencies to travel greater distances"
"Atmosphere is held in place by?","Pressure of the planetary body, Charge of the planetary body, Heat of the planetary body","Gravity of the planetary body"
"The thermosphere extends from an altitude of ________ to the base of ________ at ________?","75 km, Mesosphere, 670 km, 80 km, Ionosphere, 680 km, 90 km, Ozone Layer , 690 km","85 km, Exosphere, 690 km"
"_________ is the layer wherein most meteors are incinerated before reaching the surface.","Troposphere, Stratosphere, Ionosphere","Mesosphere"
"The mesosphere ranges from ________ to _________?","46 km to 85 km, 48 km to 85 km, 52 km to 85 km","50 km to 85 km"
"Stratosphere is the atmospheric layer that absorbs most of __________ that Earth receives from the Sun.","Infrared radiation, Ozone layer, Radio waves","Ultraviolet radiation"
"_________ is the atmospheric layer that absorbs most of the ultraviolet radiation that Earth receives from the Sun.","Troposphere, Mesosphere, Ionosphere","Stratosphere"
"Stratosphere is present at an altitude between _________.","17 km and 35 km, 18 km and 35 km, 19 km and 35 km","15 km and 35 km"
"_________ extends from the top of the troposphere to the bottom of the mesosphere.","Thermosphere, Ionosphere, None of the above","Stratosphere"
"The height of the troposphere varies between ____________.","7 km at equator and 17 km at poles, 18 km at equator and 8 km at poles, 8 km at equator and 18 km at poles","17 km at equator and 7 km at poles"
"____________ contains 75–80 % of the mass of the atmosphere.","Stratosphere, Mesosphere, Thermosphere","Troposphere"
"Troposphere extends from planetary surface to bottom of __________?","Mesosphere, Troposphere, Thermosphere","Stratosphere"
"__________ is the lowest layer of the atmosphere.","Stratosphere, Mesosphere, Thermosphere","Troposphere"
"The presence of ice in which region of the moon has been conclusively established?","Northern pole region, Equator, All of the above","Southern pole region"
"The Saturn V rocket that took Apollo 11 to the moon in 1969 stood tall?","364-feet, 365-feet, 366-feet","363-feet"
"The extremely cold temperatures in the polar region of moon mean that it can act as a kind of __________ where things do not undergo much change.","Light capsule, Meta capsule, Natural capsule","Time capsule"
"What is the 2nd closest galaxy to the Milky Way?","Andromeda, Messier 81, Whirlpool","Triangulum"
"LPG consists mainly of : ___________?","Methane,Ethane & Hexane, Ethane,Hexane &Nonane, All of these","Methane,Butane & Propane"
"The main constituent of Pearls are: ______________?","Calcium oxide &Ammonium Chloride, Aragonite & Conchiolin, None of these","Calcium Carbonate &Megnesium Carbonate"
"Water is a good solvent of ionic salts because:","It has a high specific heat, It has no colour, None of these","It has a high dipole moment"
"Which scientist is known as modern father of Astronomy ?","Einstein, Newton, Archimedes","Copernicus"
"What is the chemical name of Oil of Vitriol?","Hydrochloric Acid, Nitric Acid, Muriatic Acid","Sulphuric Acid"
"According to Quark theory, there are _________ elementary particles.","Three, Nine, Ten","Six"
"Which is the New & Most Important Culprit damaging the ozone Layer?","Carbon Dioxide, Chlorofluoro Carbons, Carbon Monoxide","Nitrous Oxide"
"Pluto is known as dwarf planet because which of the following reason/s:","It has negligible mass, It has not nearly round shaped, All of the above","It does not have always same neighbouring planet"
"Which of the following phenomena of light are involved in the formation of a rainbow?","Refraction, Dispersion, Total internal reflection","All of the above"
"How many major gases have been used in re​frig​er​a​tors since its invention?","2, 4, 5","3"
"Which planet looks reddish in the night sky ?","Jupiter, Saturn, MercurY","Mars"
"Pregnancy time period of “mice” is ___________?","2 weeks, 2.5 weeks, 4 weeks","3 weeks"
"The color of a sedimentary rock is often mostly determined by___________?","Zinc, Calcium, None of these","Iron"
"What colour is called magenta?","Black, White, Yellow","Reddish-Purple"
"Which of these is ‘escapism’?","an extreme sport, a vintage fasion style, a dangerous adventure","mental diversion from unpleasant or boring aspects of daily life"
"A Cheetah can accelerate to 100 kmph in just__________.","6 seconds, 9 seconds, 12 seconds","3 seconds"
"Aphasia is the inability to do what?","Walk, Study, Bath","Communicate"
"In radio, what does the FM stands for?","Frequency meter, Fiber modulation, Frequency Magnet","Frequency modulation"
"Carpology is a discipline devoted to the study of what?","Corbons, Cubes, Infertile soils","Seeds and fruits"
"Which insect can survive without a head for one or more weeks?","Ladybird, Bee, Termite","Cockroach"
"The term xerostomia refers to_________?","dry skin, dry nose, dry head","dry mouth"
"In the human body, the lungs remove which gas from the blood?","Nitrogen, Hydrogen, Argon","Carbon Dioxide"
"Where is the location of intermediate neurons?","Kidney, Spleen, Liver","Brain"
"What fear do people with haphephobia have?","fear of dogs, fear of helicopters, fear of houses","fear of touch"
"Natural Radioactivity was discovered by Becquerel in ____________?","1766, 1935, 2001","1896"
"The ‘Solar Corona’ mainly consists of?","Gases, Ice, Cosmic rays","Molten lava"
"Rainbow is seen after rain because of hanging molecules of water which act as __________?","Lens, Mirror, Slabs","Prism"
"A light year is a unit of ?","Time, Energy, Mass","distance"
"Blood sugar is measured in:","mmHg, PPM, Gram/Liter","mg/deciliter"
"Smoke is an solution of _________?","Solid in solid, Solid in liquid, Gas in gas","Solid in gas"
"Fog is an example of _________?","Gas in gas, Gas in liquid, Liquid in liquid","Liquid in Gas"
"The Blood Grouping Was Discovered by__________ ?","Robert Oppenheimer, Dr Hollerith, None of them","Karl Landsteiner"
"The optic nerve which is found in the human brain is also called ___________?","Mini nervous, Carnival nerve, Sustained nerve","Second cranial nerve"
"The frequency of ultrasound wave is typically?","Above 20,000 kHz, Below 20 kHz, Below 02 kHz","Above 20 kHz"
"What does A1C measure in the blood test?","total cholestrol, fructosamine, muscle strength","blood sugar level for three months"
"What time of day do most owls hunt?","Morning, Afternoon, Evening","Night"
"Kinetics is the study of________.","Force and energy, Friction, Heat and temperature","Motion and its causes"
"An optical instrument which is used measure the properties of visible light is called?","Microscope, Telescope, Oscilloscope","Spectroscope"
"Which of the following animal has blue blood?","Snail, Octopus, Spider","All of above"
"Who keeps blind snakes as their pets?","Woodcutters, Eagles, Parrots","Owls"
"_______ is called folic aci","Vitamin B1, Vitamin B6, Vitamin B12","Vitamin B9"
"Composition of Ozone layer?","O1, O2, O4","O3"
"What is the name of the chart with letters in multiple rows, used for an eye test ?","Maslow’s pyramid, Gantt Chart, Peptide Test","Snellen Chart"
"Which of the following will you use to remove rust stains on cloth?","Alcohol, Kerosene Oil, None of These","Oxalic Acid Solution"
"What is the main composition of the sun?","Oxygen and Ammonia, Hydrogen and Oxygen, Methane and Hydrogen","Hydrogen and Helium"
"Which of the followings planet can float on water?","Mars, Venus, None","Saturn"
"Which of the following is a rich source of Vitamin B-12?","Cashew nut, Apple, Watermelon","Milk"
"Where do the Prime Meridian and the equator intersect each other point?","Arabian Peninsula, Malacca Strait, All of These","Gulf of Guinea"
"How many coloumns in the modern Periodic Table?","17, 19, None of these.","18"
"How many rows in the modern Periodic Table?","5, 6, None of these.","7"
"The energy currency of the cell is called?","Fat, LEAD, None of These","ATP"
"The term ‘white coal’ is sometimes referred to which of the following?","Geothermal energy, Wind energy, Biomass energy","Hydroelectricity"
"Which of the following lens are useful in microscope?","Concave lens, Curved lens, None of These","Convex lens"
"What is the distance of the star Proxima Centauri from the planet Earth ________?","3.2 light years, 2.4 light years, 1.5 light years","4.2 light years"
"Who is the inventor of the first magnetic resonance imaging (MRI) machine?","Godfrey Hounsfieldv, Mattias Schleiden, Theodore Schwann","Raymond Damadian"
"Cancer that does not form a tumor.","metastatic breast cancer, lung cancer, bladder cancer","leukemia"
"Which metal is called “metal of hope”?","Titanium, Gold, Platinum","Uranium"
"How Many Megapixels is the Human Eye?","570, 560, None of These","576"
"The main factor for determining a region’s climate is ___________?","Temperature, Longitude, None of them","Latitude"
"The only non metal exists in liquid state is ___________?","Mercury, Phosphorus, Iodine","Bromine"
"At which temperature does bacteria die?","102F, 106F, None of These","149F"
"Which is the Coldest Planet ?","Earth, Venus, Mercury","Uranus"
"Elastic rebound theory explains:","formation of rocks, structure of solids, None of these","causes of earthquake"
"Pomology is the study of: _________?","Mind, Bones, Birds","Fruits"
"The SI unit of Dipole moment is __________?","Cm, Weber, Coulumb","Debye"
"Tetanus is a _________ infection.","Viral, Fungal, Parasitic","Bacterial"
"Parkinson is a disease of____________?","Eyes, Heart, Lungs","Brain"
"Chlorophyll contains _____metal.","Iron, Calcium, Potassium","Magnesium"
"Tuberculosis is a _________ infection?","Viral, Fungal, Parasitic","Bacterial"
"The distance between Earth and Sun is greatest during ____________?","Astronomical, Lopsided, Astronomi","Apehelion"
"As we go higher into the atmosphere, the air becomes?","Denser, Warmer, Visible","Thinner"
"Vaccination is synonymous with ___________ immunity?","Natural Active, Allergy, None of These","Artificial Active"
"Thanatology is the study of _________?","Careers, Being, Soul","Death"
"Nearest star to the sun is: ___________?","Alpha Scorpius, Beta Orionis, Vegetal","Proxima Centauri"
"_______ bacterial disease affects Eye?","Rickets, Osteoporosis, Gum disease","Trachoma"
"Deficiency of vitamin E in the human body causes __________?","Bone problem, Rickets, Osteoporosis","Muscle weakness and vision problem"
"A solar eclipse occurs when _________?","Venus between Earth and sun, Sun is between Earth and moon, Moon is between Earth and Neptune","Moon is between Earth and sun"
"_______ is the average distance between the Earth and the sun ?","Moon unit, Light unit, Solar unit","Astronomical unit"
"The correct age of solar system is approximately __________?","4.3 Billion years, 4.4 Billion years, None of these","4.5 Billion years"
"Which region of the Moon is known as Dark side?","Equator, North Pole, None of these","South Pole"
"Deficiency of vitamin “D” in human body can causes____?","Gum disease, Skin problem, Eye-sighted weakness","osteoporosis and fractures"
"What is the most abundant form of matter in the universe?","Liquid, Gas, Solid","Plasma"
"Bolometer measures: ____________?","Breadith of tree, Burning capacity, Bearing capacity","Heat radiation"
"The distance between the earth and the sun is smallest in the month of _________?","February, December, April","January"
"The chief constituents of gobar gas is_________?","Oxygen, Hydrogen, Carbon monoxide","Methane"
"Dr. James Watson discovered the structure of DNA in __________?","1955, 1957, 1857","1953"
"How Many Brains Does an Octopus Have?","7, 8, 6","9"
"Outer layer of the human skin is called __________?","Hypodermis, Dermis, Hemidermis","Epidermis"
"There are almost _______of nephrons in the each kidney in human body?","5 million, 3 million, 10 million","1 million"
"Which of the following is the strongest & longest bone of human body?","Stapes, Tibia, None of the above","Femur"
"Which of the following is the largest gland of the Human body _________?","Lungs, Skin, Gall Bladder","Liver"
"Water soluble Vitamins are _________?","A & D vitamins, A & K vitamins, B & K vitamins","B & C vitamins"
"Vitamins A,D,E & _______ are fat soluble .","Vitamin B, Vitamin C, AOT","Vitamin K"
"RBCs are also called as_______?","Leucocytes, Nucleotides, AOT","Erythrocytes"
"WBCs are also called as _________?","Lymphocytes, Nucleotides, Erythrocytes","Leukocytes"
"The percentage of blood cells in the Blood of human body is _________?","40%, 50%, 60%","45%"
"The percentage of plasma in human Blood is _________?","50%, 60%, 80%","55%"
"Mohus scale is used for to measure ____________?","Humidity, Pressure, Temperature","Hardness"
"Which of the following is not a Fat-soluble vitamin?","Vitamin A, Vitamin D, Vitamin E","Vitamin B"
"Which amongst the following cannot pass through vacuum?","Light, Radiation, None of These","Sound"
"Night vision is possible with the help of ___________?","Red light, Violet light, Ultra violet Light E. None of these","Infrared Rays"
"The respiratory problem common in smokers is______?","tuberculosis, Asthma, Cancer","Emphysema"
"Despite the fluctuation in human body temperature. The temperature of human body remains at _________?","35 °C, 42 °C, 54 °C","37 °C"
"A fathom is equal to ________feets?","5, 4, 3","6"
"What is a Geiger Counter used to measure?","Pressure, Water flow, None of these","Radioactivity"
"What is the name of newsly discovered galaxy which may be the earliest and most distant galaxy ever discovered in April 2022?","GN-z11, Milky way, None of these","HD1"
"Who is the Father of Genetics?","Alexendar, Darewin, Louis pasture","Gregor Mendel"
"Which animal can create the loudest sound among any living creature?","Donkey, Monkey, None of these","Humpback whales"
"Which one of the following is not a true fruit?","Grapes, dates, plum","Apple"
"Metal are highly ___________ ?","Electronegativity, Both of these, Neutral","Electropositive"
"What measurement scale is used to determine wind speed?","Richter Scale, Meter-second scale, None of these","Beaufort Scale"
"Earthquake waves travel faster in __________?","Flexibl rock, Air, Soil","Water"
"Activity of Brain is recorded by ____________?","ECG (Electrocardiogram), X-Ray, None of these","EEG (Electroencephalogram)"
"The second largest moon “titan” is belongs to which planet?","Uranus, Venus, Mercury","Saturn"
"Which planet of our solar system is name after a female?","Uranus, Saturn, Mercury","Venus"
"The winter solstice in the southern Hemisphere occurs on __________?","22 December, 23 September, 22 March","21 June"
"The Summer solstice in the Northern Hemisphere happens on: __________?","21 July, 22 December, 22 March","21 June"
"Which element has the third most % in human body?","Oxygen 65%, Calcium 75%, Carbon 18%","Hydrogen 10%"
"Which element has the second most % in human body?","Oxygen 65%, Calcium 75%, Hydrogen 10%","Carbon 18%"
"Which element has the most % in human body?","Calcium 75%, Hydrogen 10%, Carbon 18%","Oxygen 65%"
"A fresh egg when placed in salt water will __________ ?","sink and go to the bottom, sink but will not go to the bottom, Burst","Float"
"JAUNDICE is the disease of __________?","Heart, Lungs, Brain","Liver"
"Maximum biological damage is caused by ____________?","Alpha rays, Beta rays, Microwaves","Gamma rays"
"Which diagnostic scan gives some of the highest radiation doses in diagnostic radiography ?","Ultrasound, MRI, X-Ray","CT-Scan"
"The importance of perspiration is to ___________?","Eliminate body odours, Improve the general health, Open the pores in the skin","Regulate body temperature"
"Which medicine can be used to make urine red in colour?","isoniazir, iron capsule, Omeprazole","Rifampicin"
"Velometer is used to measure?","Rain, Wind pressure, Heat","Speed of Air"
"Water soluble vitamins are released by__________?","Sweat, Tears, Injections","Urine"
"Which hormone is necessary for the production of milk in the mother’s breast?","FSH, H., Oxytocin","prolactin"
"The spray bottles used as window or household cleaner or perfume spray works on: __________?","Capillary action, Pascal’s Law, Stoke’s Law","Bernoulli’s Principle"
"Selenology is the study of __________?","Stars, Galaxy, Planets.","Moon"
"1 Carat is equal to __________?","0.3 g, 0.4 g, 0.5 g","0.2 g"
"What is unit of Pressure?","Barr, Torr, Pascal","All of these"
"What divides the Earth into the Northern and the Southern Hemispheres?","Axis of rotation, North Pole, South Pole","Equator"
"Triple point of water is _________?","271 K, 272.2 K, None of these","273.16 K"
"Chili contain which vitamin?","Vitamin A, Vitamin B, None of these","Vitamin C"
"What is ‘Tokamak’ ?","An Israeli radar system, An American anti-missile system, A defence collaboration between Japan and South Korea","A device used in nuclear-fusion research for magnetic confinement of plasma"
"Stars in the sky appear to twinkle due to _________?","a series of reflections, a surface tension phenomenon, multiple diminishing brightness","a series of refractions"
"Nowadays Milk is not considered balanced diet because it is lacking in ___________?","Magnesium and Vitamin D, Iron and Vitamin B, calcium and vitamin C","Iron and Vitamin C"
"Nearest star to sun is: __________?","Alpha Scorpii, Beta Orionis, Vega","Proxima Centurai"
"Pure limestone is called _______?","Aluminum Oxide, Calcium Sulphate, None of these","Calcium Carbonate"
"A bird sitting on a high tension electric wire does not get electrocuted because:","Sit has high resistance, the body is earthed, its feet are good insulators","it does not form a closed path for the flow of current"
"The color which we see when our eyes are closed?","Black, Grey, None of these","Eigengrau"
"Which metal pollute the air of a big city?","Copper, Chromium, Cadmium","Lead"
"Potassium nitrate is used in__________?","Medicine, Salt, Glass","Fertilizer"
"The gases used in different types of welding would include:__________?","oxygen and hydrogen, oxygen, hydrogen, acetylene and nitrogen, oxygen, acetylene and argon","oxygen and acetylene"
"Which of the gas is not known as green house gas?","Methane, Nitrous oxide, Carbon dioxide","Hydrogen"
"Which of the following is a tissue?","Lungs, Kidney, pancreas","Blood"
"The chemical name of chalk is","Sodium nitrate, Zinc sulfate, Sulphuric acid","Calcium carbonate"
"1 tonne = _____ kg?","100, 400, 4000","1000"
"Main use of salt in diet is to : ___________?","ease the process of cooking, increase the taste, inclease solubility of food particles in water","produce small amount of hydrochloric acid required for digestion"
"To measure the speed of an approaching car a police officer shines?","light waves on it, microwaves on it, ultra high frequency waves on it","radio waves on it"
"A photostat machine works on _____________?","electromagnetic image making, magnetic image making, thermal image making","electrostatic image making"
"The owl can see most clearly in total darkness because:","it has squint eyes, it has light bulbs in its eyes provided by nature, it produces infrasonic sounds","it has large eyes with orbs directed forward, giving it binocular sight"
"The audio signals of TV are _____________?","Amplitude modulated, fixe modulated, Velocity modulated","Frequency modulated"
"The source of the Sun’s energy is the process of ____________?","Photoelectric emission, Nuclear fission, Thermionic emission","Nuclear fusion"
"The snow on the mountains does NOT melt all at once when it is heated by the sun because:","it becomes very hard, it reflects most of the heat from the sun, it has a low specific heat capacity","it has a high latent heat of fusion"
"What is the name of that system, which uses radioactivity to decide the period of materials of-pre-historic period ?","Radium dating, Uranium dating, Deuterium dating","Carbon dating"
"Soap is prepared by boiling caustic soda with ___________?","Alcohol, Kerosene oil, Glycerine","Abid Hussain"
"Milk tastes sour when kept in the open for sometime due to the formation of __________?","citric acid, acetic acid, carbonic acid","lactic acid"
"Which of the following statements is true when we see ‘rainbow’ ?","We face sun and raindrops, In light rainfall, we face Sun, The sky remains clear and the sun is at lower position in the sky","The Sun remains behind us and we face raindrops"
"Rain drops fall from great height Which among the following statements is true regarding it?","they fall with same ultimate velocity, their velocity increases and they fall with different velocity on the earth, their velocity increases and they fall with same velocity on the earth","they fall with that ultimate velocity, which are different for different droplets"
"Why the needle of iron swims on water surface when it is kept gently ?","It will remain under the water, when it will displace more water than its weight, the density of needle is less than that of water, due to its shape","due to surface tension"
"Which among the following waves is used for communication by artificial satellites ?","Radio waves, M., Infra-red waves","Micro waves"
"Erythrocyte is another name for a ___________?","white blood Cells, Platelet, Plasma","Red Blood cells"
"Hydrology is the study of ___________?","Height, High temperature, High Mountain","Rainfall"
"Which of the following is good conductor of heat but bad conduct of electricity?","Aluminium, Titanium, Abestos","Mica"
"Kilowatt-hour is a unit of____________?","Power, Electric Current, Time E. None of these","Energy"
"The blood pressure is denoted as following?","Diastolic Pressure / Systolic Pressure, Venous Pressure / Systolic Pressure, Systolic Pressure / Pulse Pressure","Systolic Pressure / Diastolic Pressure"
"Which of the following are not deflected by electric and magnetic fields ?","Alpha rays, Beta rays, None of these","Gamma rays"
"Weather and climate are driven by what source(s) of energy ?","Earth’s internal heat, Gravity, Both (a) and (c)","Solar radiation"
"Volcanoes can also be caused by _____ so called ‘hot spots’.","Ash, Gases, None of these","Mantle Plumes"
"Volcanoes are usually located on ________?","Divergent plate boundaries, Convergent plate boundaries, Hotspots","All of these"
"Which ocean does not commonly experience tropical cyclones ?","Western Pacific, North Atlantic, Indian Ocean","South Atlantic"
"The value of acceleration due to gravity is minimum on which of these planets?","Mars, Jupiter, Neptune","Mercury"
"Which of the following is mainly used for light patrol engines ?","Kerosene oil, Paraffin oil, Heavy Fuel oil","Gasoline"
"Which of the following is liquid fuel ?","Patrol, Kerosene, Paraffin oil","All of above"
"pH value of Blood or Red Blood Cells ?","5, 6, 8-10","7.35-7.45"
"pH value of water is _________?","5, 5-6, 8.7-10.5","6.5-8.5"
"What is the magnetic field at any point in the open space inside the toroid?","one, Depends on the current in the turns, Depends on number of turns","zero"
"Study of fruit is called ___________?","Plriculture, Sericulture, Apiculture","Pomology"
"Which of the following Vitamin is required for Normal Blood Circulation ?","Vitamin A, Vitamin D, Vitamin E","Vitamin K"
"1 Meter = _________ millimeters?","10000 millimeters (mm), 10 millimeters (mm), 100 millimeters (mm)","1000 millimeters (mm)"
"1 Meter = _________?","1000 centimeters (cm), 10 centimeters (cm), 10000 centimeters (cm)","100 centimeters (cm)"
"An astronaut sees the colour of the sky as: _________?","Blue, White, Red","Black"
"The position of an element in the Periodic Table is determined by its __________ number?","Electron, Neutron, None of these","Proton"
"Which among the following is correct about Saliva of a Healthy Human?","It is slightly acidic, It is slightly saline, It is neutral","It is slightly alkaline"
"Which of the Following Hormones Regulate Blood Sodium and Potassium Levels in the Body?","Cortisol, Glycogens, Pheromones","Aldosterone"
"Calcium level in the blood is regulated by the: ___________?","Thyroid, Parathyroid, Adrenal medulla","A and B"
"Which part of the brain controls the Pituitary Gland?","Hindbrain, Hippocampus, Midbrain","Hypothalamus"
"The process which is essential for continuing and survival of species is __________?","Digestion, Respiration, Excretion","Reproduction"
"The part of brain involved in balance and precision in movements is: __________?","Cerebrum, Thalamus, Medulla oblongata","Cerebellum"
"Which one of the following waves are used by the common TV remote control?","Radio waves, Lasers, Ultrasonic waves","Infrared waves"
"Recently, scientists observed the merger of giant ‘blackholes’ billions of light-years away from the Earth. What is the significance of this observation?","‘Higgs boson particles’ were detecte, Possibility of inter-galactic space travel through ‘wormhole’ was confirme, It enabled the scientists to understand ‘singularity’.","Gravitational waves’ were detecte"
"What is the largest cell in the human body?","RBCs, Sperm cell, Neuron","Ovum"
"Total number of moons in entire Solar System are:__________?","More than 100, More than 300, More than 400","More Than 200"
"Wireless transmission can be done via _____________?","A Infrared waves, Radio waves, Microwaves","All of these"
"The Aurora Borealis, also known as ________?","Western lights, Southern lights, Eastern lights","Northern lights"
"Which one of the following elements the drum of a Photostat machine is made up of: _________?","Aluminium, Barium, None of these","Selenium"
"Chromosomes are made up of __________ ?","DNA only, DNA and RNA, Proteins only","DNA and Proteins"
"A shooting star is _________?","Sun, A comet, An steroid","A meteor"
"Cataract is a disease of ________?","Throat, Lungs, Circulatory system","Eyes"
"Combustion can not take place without __________?","Hydrogen, Oxygen, Argon","Air"
"Main constituent in air is ___________?","Oxygen, Hydrogen, Helium","Nitrogen"
"Proteins are made up of _________?","Polynucleotide, Oxyacetylene, None of these","Polypeptide"
"Permanent hardness of water is due to the presence of __________?","Sodium bicarbonate, Calcium bicarbonate, None of these","Calcium sulfate"
"The Shape of earth is _________?","Elliptical, Oval, Spherical","Oblate Spheroid"
"Which Planet is also known as Winter Planet?","Mercury, Earth, Uranus","Jupiter"
"Which bird weighs less than a penny?","Goldcrest, Weebill, None of these","Hummingbird"
"Which is the only planet that rotates clockwise?","Jupiter, Earth, Mercury","Venus"
"__________ Protect us from diseases?","minerals, Carbohydrates, None of these","Vitamins"
"The major source of quick energy is ___________?","Minerals, vitamins, None of these","Carbohydrates"
"All the bones of the body make a frame called?","Tissue, Skull, None of these","Skelton"
"Skin is _____ thick?","2cm, 3mm, 3cm","2mm"
"How many bones are in Human Skull?","25, 26, None of these","22"
"How many bones in each hand?","26, 28, 30","27"
"how many bones in each foot ?","27, 28, 30","26"
"How many muscles in human body?","632, 642, None of these","639"
"An average human heart beats about time in a minute?","85 times, 90 times, 120 times","72 times"
"the delicate lungs are protected by a cage that is called ______?","luvcage, both A & B, None of these","Ribcage"
"______ are the Breathing center of the body?","Nose, Air, None of these","Lungs"
"The part of ear that is visible is called _______?","External Ear, Pinna, Internal ear","both A & B"
"An adult have permanent teeth?","30, 40, 50","32"
"A three year child has _______ teeth?","30, 10, None of these","20"
"The stomach is the shape like bag?","E shape, T shape, None of these","J Shape"
"New Born Baby Brain weight is about________?","300 grams, 250 grams, None of these","400 grams"
"Which bird has legs but can’t walk ?","Loons, Grebes, None of these","Hummingbirds"
"Which part of the human body contains the most gold?","Liver, Skin, Kidney","Toenails"
"Planets having largest amount of Carbon Dioxide is ____________?","Mercury, Jupiter, Mars","Venus"
"Milky Way Galaxy in which type?","Round, Square, Linear","spiral"
"What is unit of conductivity?","Ohm, Watt, None of these","mho"
"Parses is a unit used to measure: __________?","Time, Speed, Force","Distance"
"Who among the following discovered the sunspots?","Johannes Kepler, Einstein, Copernicus","Galileo"
"What is the percentage of salt water on earth surface?","93%, 95%, 76%","97%"
"The maximum risk to air travel is from?","Clouds, Rainfall, Strong Winds","Fogs"
"Mercury is the closest planet to the Sun, but Venus is hotter than Mercury because of its_________?","Pressure, axis, surface","atmosphere"
"Which part of the atmosphere are you breathing right now?","Bathysphere, Stratosphere, Lonosphere","Troposphere"
"The earth revolves around the sun at a speed of__________?","18.5 km/sec, 26.6 km/sec, 31.9 km/sec","29 km/sec"
"What is the degree of rotation of the earth each hour?","1°, 5°, 7.5°","15°"
"Only object of earth can be seen from Moon What it is?","Hanging Garden, Light House, A Squire","Wall of China"
"Water present in watermelon?","93%, 94%, 95%","92%"
"Leprosy is the oldest disease in the world caused by which microorganism?","Virus, Fungi, None","Bacteria"
"The Distance of Neptune From Sun is ________ astronomical unit.","28, 32, None of these","30"
"Our atmosphere consists of__________ CO2?","0.3 to 0.4% CO2, 3 to 4% CO2, None of these","0.03 to 0.04% CO2"
"Our atmosphere consists of___________ Oxygen approximately?","11% Oxygen approximately, 31% Oxygen approximately, None of these","21% Oxygen approximately"
"Our atmosphere comprises of __________ Nitrogen?","38% Nitrogen, 58% Nitrogen, None of these","78% Nitrogen"
"Curie is a unit of measuring the intensity of ___________?","Quantity of Heat, Work or Energy, Power","Radioactivity"
"Newton metre is a unit of __________.","Substance, Length, Work","torque"
"Lux is a unit of __________?","Luminous Flux, Luminous Intensity, Focus","Illumination"
"Which of the following vitamin is known as folate?","B-1, B-6, vitamin-D","B-9"
"The Shortest air route from Moscow to San Francisco is?","Over the South Pole, Over the North Pole, None of the above","Over the Atlantic Ocean"
"Which of the following is a volcanic plateau?","Brazilian Plateau, Anatolia Plateau, Tibetan Palteau","Antrum Plateau"
"The most abundant element in sea water is?","Sodium, Sulfur, Magnesium","Chlorine"
"An abnormally great desire for food, excessive eating is called?","Dysphagia, Phagia, None of the above","Bulimia nervosa"
"The _______ test is a color perception test for red-green color deficiencies.","Hemiplegia, Lalopathy, None of the above","Ishihara"
"________ is an instrument used in determining the directions of movement of clouds.","Stethoscope, Metroscope, None of the above","Nephoscope"
"_________ means a line on a map connecting points having the same atmospheric pressure at a given time or on average over a given perio","Isobath, Isohel, Isohyet","Isobar"
"The antiparticle of an electronic is _______?","Proton, Alpha particular, None of these","Positron"
"What cells are involved in bone remodeling?","Osteoblasts, Osteoclasts, Osteocytes","All of these"
"How many elements are in modern periodic table?","181, 108, 188","118"
"Which of the following vitamin is known as Pyridoxine?","Vitamin B-1, Vitamin B-2, Vitamin B-12","Vitamin B-6"
"Which is the most electro-negative element among the following _________?","Bromine, Sodium, Oxygen","Fluorine"
"The metal that is used as a catalyst in the hydrogenation of oils is _______?","Pb, Cu, Pt","Ni"
"Biggest award in the field of science is the __________?","UNESCO peace prize, Right livelihood prize, All of these","Noble Prize"
"Which of the following vitamin is known as Riboflavin?","vitamin B-1, vitamin B-3, vitamin B-6","vitamin B-2"
"Which is known as ‘Lifeblood of industries’?","Transport, logistic, Supplies","Finance"
"Which of the following vitamin is known as Pantothenic acid?","vitamin B-1, vitamin B-2, vitamin B-3","vitamin B-5"
"Which of the following vitamin is known as Biotin?","vitamin B-3, vitamin B-4, vitamin B-5","vitamin B-7"
"Chiken egg is composed of _______ cells?","100 cells, 1000 cells, One million cells","One cell"
"Which of the following vitamin is known as Cobalamin?","vitamin B-1, vitamin B-3, vitamin B-9","vitamin B-12"
"Ibex is a wild alpine ________ found in Himalaya?","Dog, Hen, Sheep","Goat"
"Dyne is the unit of?","Pressure, Velocity, Momentum","Force"
"Quality rating of deisel is called?","Octane, Protane, Butane","Cetane"
