question,wrong_choice,correct_answer
Who is Minister of State for IT and Telecommunication?,"A. Khalid Maqbool Siddiqui
B. Mohsin Naqvi

D. None of These",C. Shaza Fatima Khawaja
Who is the Current Minister of Finance in Gilgit-Baltistan?,"A. Haji Janbaz Khan
B. Mr. Javed Hussain Manwa

D. Dr. Ali Madad Sher",C. Engineer Muhammad Ismail
When the government of Pakistan announced a new counterterrorism operation “Azm-i-Istehkam”?,"A. June 20, 2024

C. June 20, 2023
D. None of These","B. June 22, 2024"
"As per SIPRI report 2024, Pakistan has how many nuclear weapons?","A. 140
B. 150

D. None of these",C. 170
"Which captain of Pakistani cricket team become the first captain to lose against USA, Zimbabwe, and Ireland ?","A. Sarfaraz

C. Rizwan
D. None of These",B. Babar Azam
The total volume of the budget of Pakistan for the fiscal year 2024-25  be _________?,"B. Rs 19,000 billion
C. Rs 20,234 billion
D. None of these","A. Rs 18,877 billion"
"According to the Pakistan Economic Survey 2023-24 released on June 11, 2024, as many as ________ individuals are unemployed in the country.","A. 4 Million

C. 5 Million
D. 5.8 Million",B. 4.5 Million
Who is the current MD/CEO of Sui Northern Gas Pipelines Limited ?,"B. Imran Maniar
C. Lt Gen Muzammil Hussain
D. Dr. Muhammad Sohail Khan Rajput",A. Amer Tufail
"According to the Pakistan Economic Survey 2023-24 released on June 11, 2024, from 4.5 million unemployed individuals the youth aged 15-24 have the highest unemployment rate of:____________?","A. 9.3%
B. 10.5%

D. 12.2%",C. 11.1%
"The ________ on June 10, 2024, has approved a $1 billion loan for Pakistan to support the Dasu Hydropower Project.","A. Asian Development Bank

C. Asian Infrastructure Investment Bank
D. International Monetary Fund",B. World Bank
"Recently During China Visit, PM Shahbaz Sharif Visited the _________ Museum in XI’an along with the Pakistani delegation..","A. National Museum of China

C. Shanghai Museum
D. None of These",B. Terracotta Warrior Museum
"The ‘Pakistan Economic Survey 2023-24’ released by Finance Minister _____________ on June 11, 2024.","A. Ishaq Dar

C. Miftah Ismail
D. None of These",B. Muhammad Aurangzeb
"The State Bank of Pakistan (SBP) on June 10, 2024, reduced its policy rate by 150 basis points to 20.5 per cent, the first cut in nearly ____ years.","A. Two
B. Three

D. Five",C. Four
"Legendary voice of Radio Pakistan, Urdu newscaster ______________ passed away in Rawalpindi on June 9, 2024?","A. Asma Chaudhry

C. Aasma Sherazi
D. None of These",B. Taskeen Zafar
Which U-18 volleyball team emerged victorious in the Central Asian Volleyball Association (CAVA) men’s Volleyball Championship 2024 held in Uzbekistan?,"A. Iran
B. Uzbekistan

D. Tajikistan",C. Pakistan
Pakistan’s U-18 volleyball team emerged victorious in the Central Asian Volleyball Association (CAVA) men’s Volleyball Championship 2024 by defeating ________ in the final.,"A. Uzbekistan

C. Tajikistan
D. Kazakhstan",B. Iran
Who is the current Chairman of National Commission on Human Rights (NCHR)?,"A. Irfan Ullah Khan
B. Khyzar Hayat Khan

D. Liaqat Bacha",C. Ms. Rabiya Javeri Agha
"President Asif Ali Zardari presented the prestigious ‘Nishan-i-Pakistan’ award to ___________ in recognition of his exemplary services to Pakistan on June 7, 2024?","B. Daren Sammy
C. Mahathir Mohamad
D. None of These",A. Prince Rahim Aga Khan
"To conserve and protect the “Markhor” population and their habitats in the country, Pakistan Post in collaboration with WWF Pakistan issued postal stamps showcasing the Kashmir Markhor on:","A. May 5, 2024
B. April 7, 2024

D. June 5, 2024","C. June 7, 2024"
"Which province banned the production, distribution and sale of plastic bags from June 5, 2024?","B. KP
C. Balochistan
D. None of These",A. Punjab
"During PM Shehbaz’s  visit to China in June 2024, about ___ MoUs and agreements were signed, which were aimed at ‘deepening cooperation development’.","A. 25
B. 27
C. 30",D. 32
Pakistan elected to historic 8th term for UNSC by securing_________Votes of of 190 ?,"A. 181

C. 183
D. 184",B. 182
Pakistan elected to UNSC for historic __________term on 6 June 2024?,"A. 7th

C. 5th
D. 9th",B. 8th
How many times pakistan has been elected as non-permanent member of UNSC ?,"A. 6
B. 7

D. 9",C. 8
"Which Bank on June 5, 2024, announced that it had approved a $250 million policy-based loan to Pakistan to drive sustainable investments in infrastructure and services through public-private partnerships?","A. World Bank
B. Asian Infrastructure Investment Bank

D. Swiss Bank",C. Asian Development Bank
"Prime Minister Shahbaz Sharif went for an official visit on 4th June 2024, to___________?","A. UAE

C. USA
D. None of these",B. China
"Prime Minister Shehbaz Sharif left for a five-day official visit to Beijing China, starting from____, 2024:","A. June 3 to June 7
B. June 3 to June 8

D. None of These",C. June 4 to June 8
When PM Shahbaz Sharif landed on an official visit to China in June 2024?,"A. 2nd June 2024
B. 5th June 2024

D. None of these",C. 4th June 2024
"The Sindh Investment Department (SID) and Swiss Business Council (SBC) signed a memorandum of understanding (MoU) on ___________, to promote trade and investment.","A. June 4, 2023

C. May 31, 2023
D. April 30, 2024","B. June 4, 2024"
"According to the Pakistan Bureau of Statistics data released on June 3, 2024, Pakistan recorded its highest monthly growth in exports in ___ years with a jump of almost 19% in May 2024.","B. Two
C. One
D. Four",A. Three
Who is the Current Chairman of NADRA ?,"B. Tariq Malik
C. Usman Yousaf Mobeen
D. None of these",A. Lft. Gen. Muhammad Munir Afsar
"Secretary-General of the South Asian Association for Regional Cooperation (SAARC), Md. Golam Sarwar, visited Pakistan from:","B. April 22 to 26, 2024
C. Feb. 25 to 28, 2024
D. January 10 to 13, 2024","A. May 20 to 24 , 2024"
Dr Helen Mary Roberts becomes first female______________ of Pak Army from Christian community.,"B. Major
C. Commonder
D. Colonel",A. Brigadier
Who is the Current CEO of Telenor Pakistan?,"A. Irfan Wahab Khan

C. Muneer Faroouqi
D. None of these",B. Khurrum Ashfaque
"Pakistan launched satellite PakSat-MM1-ton on May 30, 2024. PakSat-MM1 is a __________ satellite.","A. low Earth orbit (LEO)
B. Medium Earth orbit (MEO)

D. Geostationary transfer orbit (GTO)",C. Geostationary orbit (GEO)
Which team of PSL has won most of PSL trophies?,"A. Peshawar Zalmi
B. Lahore Qalanders

D. None of These",C. Islamabad United
"Kalgani area recently in news, where a bus plunged into a stream on May 29, 2024, in which at least 28 people were killed, is located in________ District of Balochistan","B. Chagai
C. Kech
D. Khuzdar",A. Washuk
May 28 is observed as Youm-i-Takbeer to mark the day when Pakistan became an atomic power. In 2024 Pakistan marked the ___ anniversary of nuclear tests.,"A. 24th
B. 25th

D. 27th",C. 26th
"Talat Hussain, 83, Pakistani actor, often described by his admirers as the ‘Pakistani Laurence Olivier’, died on:","A. May 26, 2023

C. May 25, 2024
D. April 26, 2024","B. May 26, 2024"
"Out of 14 Presidents, how many were acting Presidents of Pakistan?","A. Two
B. Zero

D. One",C. Three
Who was the 22nd prime minister and a popular figure in the modern period of Pakistan?,"A. Shahbaz Sharif
B. Nawaz Sharif

D. Beenazir  Bhutto",C. Imran Khan
The United Arab Emirates (UAE) has announced the allocation of _________ billion for investment in promising economic sectors in Pakistan,"B. $14bn
C. $13bn
D. None of These",A. $10bn
"Who was appointed as the Chairman of the Council of Islamic Ideological (CII) on May 21, 2024?","A. Dr. Qibla Ayaz

C. Prof. Allama Allauddin Siddiqui
D. Justice Abu Saleh Muhammad Akram",B. Allama Dr. Raghib Hussain Naeemi
"According to the National Accounts Committee (NAC) Pakistan’s investment ratio has plunged to its lowest level in ________ years, falling to just 13.1% of the size of the economy in the outgoing FY-2024.","A. 20
B. 30
C. 40",D. 50
Who won ‘Bint-e- Hawa’ achievement award 2024 .,"A. Naila Kiani

C. Sharmeen Obaid Chinoy
D. Naila Kabeer",B. Nigar Johar
"As of May 2024, Sirbaz Khan has summited ___ out of the 14 highest mountains in the world.","A. 11
B. 12

D. 14",C. 13
Sirbaz Khan is the first Pakistani who has now climbed _______ of the world’s 14 highest peaks without using supplemental oxygen.,"A. 5
B. 10

D. 13",C. 11
"Pakistani climber ________ became the second Pakistani to reach the summit of Everest without supplemental oxygen on May 21, 2024?","A. Sajid Sadpara

C. Ali Sadpara
D. None of Above",B. Sirbaz Khan
"The 19th Meeting of the Chairs of Supreme Courts of the SCO Member States was held on ___, 2024.","A. May 20-22
B. April 20-22

D. June 2-4",C. May 22-24
Pakistan and China held __________ Joint Coordination Committee (JCC) of the China-Pakistan Economic Corridor (CPEC) virtually on 24th May 2024?,"B. 14th
C. 15th
D. None of These",A. 13th
What is the ranking of Pakistan in Travel and Tourism Development Index 2024?,"A. 94

C. 104
D. None of these",B. 101
Who is Current Head Coach of Pakistan Cricket Team?,"A. Inzimamul haq

C. Saqlain Mushtaq
D. Misbah ul Haq",B. Gary Kirsten
Asian Games 2024 will be held in host City of Pakistan ?,"A. Lahore
B. Faisalabad
C. Gujranwala",D. All of these
South Asian Games 2024 will be hosted in which country ?,"A. Iran
B. China

D. Afghanistan",C. Pakistan
Kukikhel tribe recently in news resides mainly in which province of Pakistan:,"A. GB
B. AJK

D. Balochistan",C. KP
Prime Minister Shehbaz Sharif paid a day-long visit to which of the following country on 23rd May 2024?,"A. Kyrgyzstan
B. China

D. None of These",C. United Arab Emirates
Which APP is recently launched to help survivors of gender-based violence in May 2024?,"B. Ehsaas
C. Madad
D. None of These",A. Humqadam
"The recent in mob attack on foreign students in the Kyrgyz capital of Bishkek in which five Pakistani students were injured happened on ________, 2024?","A. May 16
B. May 15

D. May 18",C. May 17
What is the maximum fine proposed by the Punjab Defamation Bill 2024 for spreading fake news?,"A. Rs1 million
B. Rs2 million

D. Rs4 million",C. Rs3 million
The Punjab Assembly on 21st May 2024 passed the___________ Bill?,"A. Anti-Terrorism Bill, 2024

C. Media Freedom Bill, 2024
D. Education Reform Bill, 2024","B. Defamation Bill, 2024"
"The Punjab Assembly on _________, 2024 passed the ‘Defamation Bill, 2024’?","A. May 19
B. April 20

D. None of These",C. May 20
Pakistan has participated in _______ UN peacekeeping missions across _______ countries?,"A. 50, 30
B. 60, 60

D. 55, 40","C. 46, 29"
Which country has been awarded the honour of hosting the West Asia Baseball Cup 2024 ?,"A. China

C. New Zealand
D. South Korea",B. Pakistan
Who is the current Pakistani ambassador to Kyrgyzstan?,"B. Mr. Zahoor Ahmed
C. Mr. Masood Khan
D. None of these.",A. Mr. Hassan Zaigham
_________ city traffic police department has launched “Chips Rider Squad” to maintain smooth flow of traffic across the provincial capital.,"A. Karachi
B. Lahore

D. Islamabad",C. Peshawar
"What is the Name of Turkey Foreign Minister who visited Pakistan for a Two-Day Official Visit on May 19, 2024?","A. Mr. Ali Yerlikaya.
B. Mr. Ahmet Davuto?lu

D. None of the above",C. Mr. Hakan Fidan
"Which Country Foreign Minister Arrived in Islamabad for a Two-Day Official Visit on May 19, 2024?","B. Kyrgyzstan
C. Afghanistan
D. Iran",A. Türkiye
Who is the incumbent chairman of Council of Islamic Ideology (CII)?,"A. Maulana Muhammad khan Sherani

C. Dr. Qibla Ayaz
D. None of These",B. Allama Dr. Raghib Hussain Naeemi
Who is the Current IG of Azad Kashmir AJK Police?,"A. Salahuddin Khan

C. Sohail Habib Tajik
D. None of These",B. Abdul Jabbar
"The first ‘National Antimicrobial Stewardship Summit 2024’ hosted by Getz Pharma held on ____, 2024, under the theme: One World – One Health.","B. May 21
C. May 25
D. May 27",A. May 19
"According to ‘National Antimicrobial Stewardship Summit 2024’ held on 19 May, 2024, the ‘Antimicrobial resistance’ is an escalating crisis claiming some _______ lives annually in Pakistan.","A. 100,000
B. 400,000
C. 500,00","D. 700,000"
Recently who became the first Pakistani Woman to Scale 11Peaks over 8000 meters ?,"B. Samina Baig
C. Saira Yousif
D. Ayesha Mukhtar",A. Naila Kiani
Who becomes the First Woman Driver for Pink bus Service in Pakistan ?,"B. Gulnaz Bibi
C. Fatima Bibi
D. Hayat Bibi",A. Kinza Bibi
Who is the Current Opposition leader of Punjab Assembly?,"A. Shehbaz Sharif
B. Mian Mehmood ur Rashid

D. Ahsan Iqbal",C. Malik Ahmad Khan
"The 2024 Central Asian Volleyball Championship final was played on ______, 2024, at the Pakistan Sports Complex.","A. April 17
B. April 20

D. May 18",C. May 17
"Pakistan, led by Murad Jehan, defeated _____ to win the Central Asian Volleyball Championship title at the Pakistan Sports Complex.","B. Uzbekistan
C. Iran
D. Azerbaijan",A. Turkmenistan
"_____ won 2024 Central Asian Volleyball Championship title at the Pakistan Sports Complex, Islamabad.","A. Turkmenistan
B. Uzbekistan
C. Iran",D. Pakistan
"Justice Munib Akhtar, the second most senior judge of the Supreme Court, was sworn in as the Acting Chief Justice of Pakistan for a week on _________, 2024.","A. May 17

C. May 19
D. May 20",B. May 18
Who is the Current Finance & Revenue Minister of Pakistan?,"B. Miftah Ismail
C. Hammad Azhar
D. Ishaq Dar",A. Muhammad Aurangzeb
"As per Dubai Leaks published in May 2024, Pakistani nationals own properties of how much in Dubai (UAE)?","B. USD 14.5 billion
C. USD 15.5 billion
D. None of These",A. USD 12.5 billion
How many times Pakistan won Azlan Shah hockey tournament?,"A. Once
B. Two Times

D. Never won",C. Three Times
Who is the Runner up of Azlan Shah Cup 2024?,"A. Malaysia
B. India
C. Japan",D. Pakistan
"Fifth Pakistan-China Foreign Ministers Strategic Dialogue held on ___________, in Beijing, China?","A. June 12-16, 2024

C. April 13-14, 2024
D. None of These","B. May 13-16, 2024"
Pakistan’s exports to European countries declined ______ percent in the first nine months of the current fiscal year 2024.,"B. 5.61
C. 4.53
D. None of These",A. 6.27
Current Governor of Punjab is __________?,"A. Chaudhry Sarwar
B. Omer Sarfraz Cheema
C. Balighur Rehman",D. Sardar Saleem Haider
"Who is the Current Federal Minister for Planning, Development and Special Initiatives in Pakistan?","B. Saqqal Gondal
C. Syeda Nosheen Iftikhar
D. Pervez Khattak",A. Ahsan Iqbal
Who is the Current Foreign Minister of Pakistan?,"A. Bilawal Bhutto Zardari

C. Shah Mehmood Qureshi
D. None of these",B. Ishaq Dar
Who is Current Head Coach of Pakistan male Hockey Team?,"B. Shahnaz Sheikh
C. Dilawar Butt
D. None of These",A. Roeltant Oltmans
Which country is the host of ICC Champions Trophy 2025 ?,"A. India
B. Bangladesh

D. Australia",C. Pakistan
Sardar Saleem Haider Khan took oath as the Governor of Punjab province on ___________?,"A. 10 July 2024

C. 11 April 2024
D. 24 May 2024",B. 10 May 2024
Which team remained as Runner -Up in Deaf T20 Cricket World Cup 2024 ?,"B. India
C. Bangladesh
D. Pakistan",A. Sri-lanka
Who is the Current Governor of Balochistan?,"A. Muhammad Khan Achakzai
B. Abdul Wali Khan Kakar
C. Jan Mohammad Jamali",D. Jaffar Khan Mandokhail
Who is the Current Governor of Khyber Pakhtunkhwa (KPK)?,"B. Haji Ghulam Ali
C. Iqbal Zafar Jhagra
D. None of these",A. Faisal Karim Kundi
What is the name of the Satellite launched by Pakistan’s first Moon Mission .,"B. iCube Aftab
C. iCube glow
D. iCube stellar",A. iCube Qamar
Who is the Chairman of Water and Power Development Authority (WAPDA) ?,"B. Muneer Ahmed
C. Lt Gen Muzammil Hussain (Retd)
D. None of these",A. Lt Gen Sajjad Ghani (Retd)
"On the recommendation of the Ministry of States and Frontier Regions, the federal cabinet approved the extension of the validity of PoR cards of Afghan refugees from","B. April 1, 2024, to June 30, 2025
C. May 1, 2024, to June 30, 2025
D. Jan 1, 2024, to June 30, 2024","A. April 1, 2024, to June 30, 2024"
Current National Assembly of Pakistan is_________?,"A. 14th National Assembly
B. 15th National Assembly

D. None of These",C. 16th National Assembly
Who is the Current Federal  Minister of National Heritage & Culture Division?,"A. Syeda Nosheen Iftikhar
B. Abdul Aleem khan

D. Ahad Khan Cheema",C. Engr Amir Muqam
Who is the current IG of Islamabad Police?,"B. Dr Akbar Nasir Khan
C. Muhammad Ahsan Younas
D. Sikandar Hayat",A. Syed Ali Nasir Rizvi
Who is the leader of the opposition in National Assembly of Pakistan?,"A. Imran Khan

C. Raja Riaz Ahmad
D. None of these",B. Omar Ayub Khan
Who is the Current Chairman of Punjab Public Service Commission (PPSC)?,"B. Lt Gen Sajjad Akram
C. Naveed Akram Cheema
D. None of These",A. Lt Gen Muhammad Abdul Aziz
Who is/was first deputy Prime Minister of Pakistan?,"A. Ishaq Dar
B. Begam Nusrat Bhutto
C. Chaudhry Pervaiz Elahi",D. Zulfikar Ali Bhutto
Prime Minister Shahbaz Sharif appointed Ishaq Dar as the Deputy Prime Minister of Pakistan on .,"A. 28 February,2024
B. 28 March ,2024

D. None of these","C. 28 April ,2024"
Elections for the Senate of Pakistan were held on ___________?,"B. 7 May ,2024
C. 9 July ,2024
D. 8 February ,2024","A. 2 April ,2024"
Who is the current Federal Minister of Education and Professional Training?,"B. Rana Tanveer Hussain
C. Syed Khurshid shah
D. Rana Sanaullah",A. Khalid Maqbool Siddiqui
Who is Current Federal Minister of Industries & Production?,"A. Makhdoom Khusro Bakhtiar

C. Syed Murtaza Mahmud
D. None of these",B. Rana Tanveer Hussain
Who is the Current Federal Minister of Science and Technology?,"A. Agha Hassan Baloch

C. Fawad Chaudry
D. None of these",B. Khalid Maqbool Siddiqui
Who is the Current auditor general of Pakistan?,"A. Javaid Jehangir
B. Jehangir Karamat

D. Akbar Hoti",C. Muhammad Ajmal Gondal
Who is the Current Federal Minister of Information Broadcasting and National Heritage?,"A. Lt Gen (Rtd) Asim Saleem Bajwa

C. Marriyum Aurangzeb
D. None of these",B. Attaullah Tarar
Who is the Current Federal Minister for Narcotics Control?,"A. Fawad Chaudhry

C. Shahzain Bugti
D. Mr shehryar Afridi",B. Mohsin Raza Naqvi
Who is the Current Chief Justice of Balochistan High Court?,"A. Justice Amanullah Khan
B. Justice Naeem Akhtar Afghan
C. Justice Ghulam Mustafa Mengal",D. Justice Muhammad Hashim Kakar
Who is the current Federal Minister for Privatization ?,"A. Muhammad Mian Soomro
B. Abid Hussain Bhayo

D. None of these",C. Abdul Aleem Khan
Who is the Current Federal Minister of State and Frontier Region (Safron)?,"A. Ch. Tariq Bashir Cheema
B. Muhammad Talha Mahmood

D. Ghulam Sarwar Khan",C. Engineer Amir Muqam
Who is the Current Interior Minister of Pakistan?,"A. Rana Sanaullah
B. Shafqat Mahmood

D. Sheikh Rasheed Ahmed",C. Mohsin Raza Naqvi
Who is the Current Federal Minister for Aviation?,"A. Fawad chaudhry
B. Ghulam Sarwar

D. None of these",C. Kawaja Muhammad Asif
Who is the Current Federal Minister of Defence Production?,"A. Shireen Mazari
B. Zubaida Jalal

D. Shafqat Mahmood",C. Kawaja Muhammad Asif
Who is the Current Federal Minister for Maritime Affairs ? formerly known as the Ministry of Ports and Shipping?,"A. Syed Ali Haider Zaidi

C. Syed Faisal Ali Subzwari
D. Zubida jalal",B. Qaiser Ahmed Sheikh
"According to Ambassador Asif Durrani, how many Pakistanis died during the past two decades of the War on Terror?","A. Over 50,000

C. Over 100,000
D. Over 150,000","B. Over 80,000"
Who organized the International Conference “Pakistan in the Emerging Geopolitical Landscape”?,"A. United Nations (UN)

C. World Bank
D. European Union (EU)",B. Institute of Strategic Studies Islamabad (ISSI) and the German Friedrich Ebert Stiftung (FES)
"Who is the current minister for Environment, Climate Change and Coastal Development Department in Government of Sindh?","A. Sharjel Inaam memon
B. Jam Khan shoro

D. Murad Ali shah",C. Dost Muhammad Rahimoon
Who is the President of The National Bank of Pakistan?,"A. Saeed Ahmad
B. Arif Usmani

D. Shahid Hafeez Kardar",C. Rehmat Ali Hasnie
Who is the Current Federal Minister of Railways?,"A. Shiekh Rashid Ahmed

C. Azam Khan Swati
D. Khawaja Saad Rafique",B. Sardar Awais Ahmad Khan Leghari
Who is the Pakistan’s current special representative for Afghanistan?,"B. Shehbaz Sharif
C. Ebrahim Raisi
D. Amina Khan",A. Asif Durrani
Who is the Current Chairman of Board of Investment ?,"A. Haroon Sharif

C. Naeem Haroon
D. Bilal Khokhar",B. Abdul Aleem khan
Who is the Current Minister of Finance in Balochistan?,"A. Haji Noor Muhammad Dumar

C. Zmarak Khan
D. None of these",B. Shoaib Nosherwani
Who is the Current Federal Minister for Housing and Works?,"A. Mian Riaz Pirzada

C. Maulana Abdul Wasay
D. Murad Saeed",B. Mian Riaz Hussain Pirzada
"Who was the Federal Minister of Interior in the caretaker setup 2023, of Pakistan?","A. Rana Sanaullah
B. Shaikh Rasheed

D. Shahzain Bugti",C. Sarfraz Bugti
"Who was the Federal Minister of Foreign Affairs in the caretaker setup 2023, of Pakistan?","A. Bilawal Bhutto

C. Shah Mehmood Qureshi
D. Hina Rabani Khar",B. Jalil Abbas Jilani
Who is the Current Minister of Planning and Development Department in Balochistan?,"A. Muhammad khan Lehri

C. Mr. Noor Muhammad
D. None of these",B. Mir Zahoor Ahmed Buledi
Who is the current minister of Irrigation in Balochistan?,"A. Sardar Abdul Rehman Khetran
B. Zia ullah langove
C. Haji Noor Muhammad Dumar",D. Muhammad Sadiq Umrani
Who is the current minister of Agriculture & Cooperatives in Balochistan?,"B. Muhammad Sadiq Sanjrani
C. Zia ullah langove
D. Non of these",A. Ali Madad Jattak
Who is the current minister of Revenue in Balochistan?,"A. SanaUllah zehri
B. Farah Azeem
C. Liaqat lehri",D. Muhammad Asim Kurd
Who is the current minister of School education in Balochistan?,"B. Zahoor Ahmed Buladi
C. Eng Zamrakh khan
D. Non of these",A. Ms Raheela Hameed khan Durrani
"Who is the current minister of Communication, Works, physical planning & housing ?","A. Yar Muhammad Rind
B. Abdul Rahman Khetran

D. Zia Langove",C. Salerno Ahmed Khosa
Which country has recently unveiled The World’s most powerful LASER ?,"A. Armenia
B. Tanzania

D. Slovenia",C. Romania
Who is the Current State Minister of Power Division?,"B. Muhammad Hashim Notezai
C. Umer Ayoob khan
D. None of these",A. Sardar Awais Ahmad Khan Leghari
Who is the current federal minister of Establishment & Economic Affairs?,"A. Ehsan Mazari

C. Murtaza Javed abbasi
D. Sardar Ayaz Sadiq",B. Ahad Khan Cheema
Who is the Current Federal Minister of Law and Justice & Human Rights & Parliamentary Affairs?,"B. Fahmida Mirza
D. Main Riaz Hussain pirzada
D. None of these",A. Azam Nazeer Tarar
Who is the current Federal Minister of Petroleum & Power Division ?,"B. Nadeem Babar
C. Maqbool Siddiqui
D. None of these",A. Musadik Masood Malik
"Deaf International Cricket Council (DICC) organised  ” T20 World cup 2024 ” for deaf cricket teams of the world ,held at the vision Cricket center?","A. Lahore ,Pakistan

C. Pallekele, Srilanka
D. Lords, England","B. Sharjah ,UAE"
Which country won Deaf -T20 Cricket World Cup 2024 ?,"A. Australia
B. India

D. England",C. Pakistan
The total number of Gold Medals won by Pakistan in Olympics games till to-date ?,"A. 1
B. 2

D. None of These",C. 3
Current Foreign Secretary of Pakistan is____________?,"B. Sohail Mahmood
C. Tehmina Janjua
D. Aizaz Chaudhry",A. Muhammad Syrus Sajjad Qazi
"North Atlantic Treaty Organisation ( NATO ) celebrated its __________birth anniversary on 4 April,2024?","A. 72nd
B. 73rd
C. 74th",D. 75th
Who is the Current Minister of Local Government in KPK?,"A. Shahram Khan Tarakai

C. Taimor Saleem Khan Jhagra
D. Dr. Hisham Inamullah Khan",B. Arshad Ayub Khan
"_________ martyrdom anniversary of  Zulfiqar Ali Bhutto was commemorated all over the country on 4th April ,2024?","A. 40th
B. 43rd

D. 50th",C. 45th
Who becomes the longest serving Caretaker Prime Minister of Pakistan?,"B. Ghulam Mustafa Jatoi
C. Shahbaz Sharif
D. Zulfiqar Ali Bhutto",A. Anwarul Haq Kakar
"The 11th edition of Joint Special forces exercise ” Khanjar ”  conducted in January-February ,2024 between?","A. India ,Afghanistan
B. India ,Azerbaijan
C. India ,Uzbekistan","D. India ,Kyrgyzstan"
"Pakistan,s first Sikh Minister- named as “Sardar Ramesh Singh Arora ” belongs to___________?","B. Quetta ,Baluchistan
C. Umerkot ,Sindh
D. None of these","A. Narowal ,Punjab"
Who becomes the first Sikh Minister in the Punjab Province of Pakistan?,"B. Sardar Bahadur lal Patel Arora
C. Sardar Guru Bali Singh Arora
D. None of these",A. Sardar Ramesh Singh Arora
The first Polio Case in 2024 has been reported from which province of Pakistan?,"A. Punjab
B. Sindh

D. KPK",C. Baluchistan
How many Women have served as President of Islamic Republic of Pakistan till to-date?,"B. 1
C. 2
D. None of these",A. 0
Currently who has been recognized as First Lady of Pakistan?,"A. Benazir Bhutto
B. Fatima Bhutto
C. Bakhtawar Bhutto",D. Asifa Bhutto
How many Women have served as “Prime Minister “of Pakistan till to-date ?,"B. 0
C. 3
D. None of these",A. 1
Who is current Test Captain of Pakistan Cricket Team?,"A. Misbah ul haq

C. Sarfaraz ahmad
D. Azhar ali",B. Shan Masood
Who is current T20 Captain of Pakistan Cricket Team?,"A. Shaheen Shah Afridi
B. Shan Masood
C. Sarfaraz ahmad",D. Babar Azam
The entire PSL League was held in Pakistan for the first time in _______?,"A. 2018
B. 2019

D. 2021",C. 2020
"On March 1 ,2024 , Sardar Ayaz Sadiq was Sworn in as the Speaker of National Assembly of Pakistan.","A. 20th
B. 21st

D. 23rd",C. 22nd
"On 3rd March ,2024 , Shahbaz Sharif was re-elected for the second time as Country’s Prime Minister .","A. 22nd
B. 23rd

D. 25th",C. 24th
"Since March 10, 2024 , Asif Ali Zardari has been Serving as the President of Pakistan .","B. 15th
C. 16th
D. 18th",A. 14th
Initiative taken by CM Punjab to promote solar energy systems in the province is__________?,"B. Sasti Bijli Programme
C. Apka Bijli Ghar Programme
D. Tawanai Apki Dehleez Pay Programme",A. Roshan Gharana Programme
Who is the Current Minister of Food in Balochistan?,"B. Sarfaraz Ahmed Bugti
C. Mir Faiq Ali jamali
D. None of these",A. Haji Noor Muhammad Dummar
Who is the Current Minister of Livestock & Dairy Development in Balochistan?,"A. Mitta Khan

C. Muhammad Nawaz
D. None of these",B. Mr Bakht Muhammad
Who won “Player of the Tournament” award in PSL-9?,"A. Imad Wasim

C. Babar Azam
D. Mohammad Rizwan",B. Shadab Khan
According to the world happiness report 2024 Pakistan ranked at which position?,"A. 128
B. 123
C. 129",D. 108
Who is the Current Minister of Communication & Works in Balochistan?,"A. Nawabzada Tariq Magsi

C. Mir Faiq Ali jamali
D. None of these",B. Saleem Ahmed Khosa
Who is the Current Minister of Agriculture & Cooperatives in Balochistan?,"B. Sarfaraz Ahmed Bugti
C. Sheikh Jaffar Khan Mandokhail
D. Haji Ghulam Dastagir Badeni",A. Ali Madad Jattak
Who is the Current Minister of Local Government and Rural Development in Balochistan?,"A. Mir Abdul Quddus bezanjo

C. Zia ullah Langove
D. Sana Baloch",B. Sardar Sarfraz Chakkar Domki
Who is the Current Minister of Public Health Engineering in Balochistan?,"A. Zmarak Khan
B. Muhammad Saleh Bhootani

D. None of these",C. Sardar Abdul Rehman Khetran
World international day against Islamophobia is observed on which date after Imran khan proposal to the united nation?,"A. 23 April
B. 22 June

D. 8 March",C. 15 March
22 year old Hadiqa Bashir from Khyber Pakhtunkhwa received Global Citizen Youth Leader award for ?,"A. women’s rights and education
B. Charity
C. animal rights
D. equality based on gender",hijab zahra
How many times Multan sultan have lost thier final in a row?,"A. 5
B. 1
C. 4",D. 3
Who is the Current Minister of Health in Balochistan?,"A. Mir Amir Rind

C. Mir Faiq Ali jamali
D. None of these",B. Sardar Faisal Khan Jamali
Who is the Current Minister of Home & Tribal Affairs and Prisons in Balochistan?,"B. Sarfaraz Ahmed Bugti
C. Mir Faiq Ali jamali
D. Salim Ahmad Khosa",A. Mir Zia Ullah Langov
Who is the Current Deputy Speaker of Balochistan Assembly?,"A. Mir Jan Mohammad Khan Jamali

C. Muhammad Nawaz
D. None of these",B. Ghazala Gola Begum
How many National Assembly of Pakistan seats were directly elected in General Elections 2024?,"A. 336
B. 342

D. 272",C. 266
"the final match of PSL-9 ,2024 was played on ___________?","A. 16 March
B. 17 March

D. None of these",C. 18 March
"The Final match of PSL-9 ,2024 was played in _________?","A. Lahore
B. Sharjah
C. Rawalpindi",D. Karachi
"After winning PSL-9 ,2024 ,Islamabad United became the first team in PSL history to win title ______ times as a Champion .","A. 1
B. 2

D. None of these",C. 3
